,country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation,grocery_and_pharmacy,parks,transit,workplaces,residential
87662,US,United States,Alabama,,2/15/20,5,2,39,7,2,-1
87663,US,United States,Alabama,,2/16/20,0,-2,-7,3,-1,1
87664,US,United States,Alabama,,2/17/20,3,0,17,7,-17,4
87665,US,United States,Alabama,,2/18/20,-4,-3,-11,-1,1,2
87666,US,United States,Alabama,,2/19/20,4,1,6,4,1,0
87667,US,United States,Alabama,,2/20/20,-7,-6,-25,-1,0,3
87668,US,United States,Alabama,,2/21/20,3,0,12,9,1,0
87669,US,United States,Alabama,,2/22/20,5,4,46,13,6,-1
87670,US,United States,Alabama,,2/23/20,3,2,24,16,2,0
87671,US,United States,Alabama,,2/24/20,-2,-3,-13,2,-2,2
87672,US,United States,Alabama,,2/25/20,7,3,27,7,-1,0
87673,US,United States,Alabama,,2/26/20,16,5,7,11,0,-1
87674,US,United States,Alabama,,2/27/20,12,6,14,9,2,-1
87675,US,United States,Alabama,,2/28/20,12,6,20,10,1,-1
87676,US,United States,Alabama,,2/29/20,15,10,55,20,5,-3
87677,US,United States,Alabama,,3/1/20,16,10,53,21,4,-2
87678,US,United States,Alabama,,3/2/20,8,4,-2,5,2,0
87679,US,United States,Alabama,,3/3/20,20,15,33,5,2,-1
87680,US,United States,Alabama,,3/4/20,7,0,-8,2,0,1
87681,US,United States,Alabama,,3/5/20,7,6,0,4,2,1
87682,US,United States,Alabama,,3/6/20,9,4,29,10,2,-1
87683,US,United States,Alabama,,3/7/20,12,8,63,18,7,-2
87684,US,United States,Alabama,,3/8/20,12,8,55,20,3,-1
87685,US,United States,Alabama,,3/9/20,10,8,45,9,2,-1
87686,US,United States,Alabama,,3/10/20,9,8,21,4,1,0
87687,US,United States,Alabama,,3/11/20,10,8,27,7,1,-1
87688,US,United States,Alabama,,3/12/20,10,22,43,8,1,-1
87689,US,United States,Alabama,,3/13/20,7,32,26,7,-2,0
87690,US,United States,Alabama,,3/14/20,1,28,55,12,4,0
87691,US,United States,Alabama,,3/15/20,-7,16,16,6,-4,2
87692,US,United States,Alabama,,3/16/20,-2,24,22,2,-10,4
87693,US,United States,Alabama,,3/17/20,-11,17,25,-1,-17,7
87694,US,United States,Alabama,,3/18/20,-13,13,39,-3,-22,8
87695,US,United States,Alabama,,3/19/20,-20,15,27,-8,-25,10
87696,US,United States,Alabama,,3/20/20,-27,10,7,-14,-29,14
87697,US,United States,Alabama,,3/21/20,-35,5,10,-13,-16,8
87698,US,United States,Alabama,,3/22/20,-40,-7,2,-22,-27,9
87699,US,United States,Alabama,,3/23/20,-33,-6,-11,-22,-33,14
87700,US,United States,Alabama,,3/24/20,-32,-5,4,-18,-34,15
87701,US,United States,Alabama,,3/25/20,-28,-4,36,-15,-36,13
87702,US,United States,Alabama,,3/26/20,-30,-3,32,-19,-36,14
87703,US,United States,Alabama,,3/27/20,-30,-2,30,-24,-37,16
87704,US,United States,Alabama,,3/28/20,-36,-2,22,-25,-22,9
87705,US,United States,Alabama,,3/29/20,-41,-13,19,-30,-32,9
87706,US,United States,Alabama,,3/30/20,-33,-10,10,-25,-38,14
87707,US,United States,Alabama,,3/31/20,-36,-11,-23,-26,-40,17
87708,US,United States,Alabama,,4/1/20,-25,5,19,-20,-39,14
87709,US,United States,Alabama,,4/2/20,-32,3,12,-25,-39,16
87710,US,United States,Alabama,,4/3/20,-29,12,17,-29,-40,16
87711,US,United States,Alabama,,4/4/20,-41,8,4,-33,-26,11
87712,US,United States,Alabama,,4/5/20,-50,-18,-1,-40,-36,12
87713,US,United States,Alabama,,4/6/20,-37,-10,3,-29,-41,16
87714,US,United States,Alabama,,4/7/20,-39,-11,-15,-31,-42,18
87715,US,United States,Alabama,,4/8/20,-36,-9,-1,-30,-43,17
87716,US,United States,Alabama,,4/9/20,-35,-4,5,-31,-43,18
87717,US,United States,Alabama,,4/10/20,-34,-4,4,-37,-48,20
87718,US,United States,Alabama,,4/11/20,-39,3,11,-35,-29,10
87719,US,United States,Alabama,,4/12/20,-64,-47,-50,-51,-45,13
87720,US,United States,Alabama,,4/13/20,-31,-11,-3,-29,-41,15
87721,US,United States,Alabama,,4/14/20,-30,-8,3,-27,-40,16
87722,US,United States,Alabama,,4/15/20,-19,-2,10,-24,-40,15
87723,US,United States,Alabama,,4/16/20,-26,-3,7,-27,-39,16
87724,US,United States,Alabama,,4/17/20,-29,-8,19,-30,-40,17
87725,US,United States,Alabama,,4/18/20,-33,-5,12,-26,-24,9
87726,US,United States,Alabama,,4/19/20,-45,-24,-44,-45,-37,12
87727,US,United States,Alabama,,4/20/20,-23,-6,13,-25,-39,14
87728,US,United States,Alabama,,4/21/20,-23,-4,18,-23,-38,15
87729,US,United States,Alabama,,4/22/20,-23,-3,13,-22,-40,15
87730,US,United States,Alabama,,4/23/20,-35,-13,-31,-33,-42,20
87731,US,United States,Alabama,,4/24/20,-26,-4,22,-26,-39,16
87732,US,United States,Alabama,,4/25/20,-31,-3,17,-23,-23,9
87733,US,United States,Alabama,,4/26/20,-30,-7,15,-29,-31,8
92447,US,United States,Alaska,,2/15/20,5,3,14,2,1,0
92448,US,United States,Alaska,,2/16/20,15,5,29,6,1,-1
92449,US,United States,Alaska,,2/17/20,3,-2,9,-6,-33,8
92450,US,United States,Alaska,,2/18/20,-2,-2,1,4,-2,2
92451,US,United States,Alaska,,2/19/20,0,-2,1,4,-3,2
92452,US,United States,Alaska,,2/20/20,3,3,5,1,2,0
92453,US,United States,Alaska,,2/21/20,-1,-2,1,5,5,0
92454,US,United States,Alaska,,2/22/20,5,3,13,3,4,-1
92455,US,United States,Alaska,,2/23/20,12,4,16,1,2,-1
92456,US,United States,Alaska,,2/24/20,4,1,7,4,3,0
92457,US,United States,Alaska,,2/25/20,6,-1,1,-1,3,0
92458,US,United States,Alaska,,2/26/20,12,6,7,2,3,0
92459,US,United States,Alaska,,2/27/20,10,6,13,9,2,-1
92460,US,United States,Alaska,,2/28/20,12,5,13,8,6,-2
92461,US,United States,Alaska,,2/29/20,13,9,9,12,5,-2
92462,US,United States,Alaska,,3/1/20,18,14,6,16,5,-1
92463,US,United States,Alaska,,3/2/20,6,6,4,6,1,0
92464,US,United States,Alaska,,3/3/20,11,9,-2,3,3,0
92465,US,United States,Alaska,,3/4/20,11,8,3,8,3,0
92466,US,United States,Alaska,,3/5/20,9,7,9,4,2,0
92467,US,United States,Alaska,,3/6/20,9,4,10,9,0,1
92468,US,United States,Alaska,,3/7/20,12,10,17,9,3,-1
92469,US,United States,Alaska,,3/8/20,13,8,34,9,2,-1
92470,US,United States,Alaska,,3/9/20,7,4,14,3,-10,2
92471,US,United States,Alaska,,3/10/20,13,6,11,2,-7,2
92472,US,United States,Alaska,,3/11/20,12,9,16,3,-8,2
92473,US,United States,Alaska,,3/12/20,12,19,21,-1,-9,2
92474,US,United States,Alaska,,3/13/20,7,19,16,0,-10,3
92475,US,United States,Alaska,,3/14/20,0,19,37,1,-1,1
92476,US,United States,Alaska,,3/15/20,5,14,58,7,-1,0
92477,US,United States,Alaska,,3/16/20,1,20,29,-6,-12,4
92478,US,United States,Alaska,,3/17/20,-14,8,12,-12,-15,7
92479,US,United States,Alaska,,3/18/20,-19,8,6,-12,-21,9
92480,US,United States,Alaska,,3/19/20,-26,4,15,-21,-25,10
92481,US,United States,Alaska,,3/20/20,-28,3,23,-24,-25,12
92482,US,United States,Alaska,,3/21/20,-37,-1,1,-25,-20,8
92483,US,United States,Alaska,,3/22/20,-30,-4,65,-30,-21,6
92484,US,United States,Alaska,,3/23/20,-36,-11,23,-37,-35,14
92485,US,United States,Alaska,,3/24/20,-37,-12,17,-39,-39,16
92486,US,United States,Alaska,,3/25/20,-40,-15,6,-42,-41,18
92487,US,United States,Alaska,,3/26/20,-40,-13,31,-42,-42,17
92488,US,United States,Alaska,,3/27/20,-42,-15,2,-50,-40,19
92489,US,United States,Alaska,,3/28/20,-47,-15,11,-50,-30,11
92490,US,United States,Alaska,,3/29/20,-48,-27,18,-55,-33,10
92491,US,United States,Alaska,,3/30/20,-40,-17,15,-49,-46,18
92492,US,United States,Alaska,,3/31/20,-37,-15,15,-45,-44,18
92493,US,United States,Alaska,,4/1/20,-35,-8,3,-43,-44,18
92494,US,United States,Alaska,,4/2/20,-42,-14,-3,-50,-45,19
92495,US,United States,Alaska,,4/3/20,-42,-14,2,-47,-43,20
92496,US,United States,Alaska,,4/4/20,-47,-14,21,-50,-32,12
92497,US,United States,Alaska,,4/5/20,-41,-17,29,-52,-32,9
92498,US,United States,Alaska,,4/6/20,-37,-15,1,-49,-44,17
92499,US,United States,Alaska,,4/7/20,-38,-16,1,-48,-44,18
92500,US,United States,Alaska,,4/8/20,-38,-14,7,-49,-44,18
92501,US,United States,Alaska,,4/9/20,-38,-12,19,-48,-44,18
92502,US,United States,Alaska,,4/10/20,-40,-10,28,-49,-44,19
92503,US,United States,Alaska,,4/11/20,-41,-4,36,-52,-32,10
92504,US,United States,Alaska,,4/12/20,-55,-33,12,-59,-37,9
92505,US,United States,Alaska,,4/13/20,-36,-15,5,-51,-43,17
92506,US,United States,Alaska,,4/14/20,-32,-13,19,-49,-41,18
92507,US,United States,Alaska,,4/15/20,-25,-5,-2,-47,-41,17
92508,US,United States,Alaska,,4/16/20,-29,-7,8,-47,-42,17
92509,US,United States,Alaska,,4/17/20,-32,-10,19,-44,-39,18
92510,US,United States,Alaska,,4/18/20,-33,-7,49,-44,-27,9
92511,US,United States,Alaska,,4/19/20,-28,-11,44,-51,-28,7
92512,US,United States,Alaska,,4/20/20,-25,-9,7,-44,-40,15
92513,US,United States,Alaska,,4/21/20,-27,-10,3,-46,-40,17
92514,US,United States,Alaska,,4/22/20,-24,-9,21,-45,-40,16
92515,US,United States,Alaska,,4/23/20,-27,-8,26,-44,-40,16
92516,US,United States,Alaska,,4/24/20,-28,-8,33,-44,-37,16
92517,US,United States,Alaska,,4/25/20,-25,-2,85,-40,-25,7
92518,US,United States,Alaska,,4/26/20,-17,-3,101,-43,-25,5
93204,US,United States,Arizona,,2/15/20,3,2,13,3,-1,0
93205,US,United States,Arizona,,2/16/20,7,3,30,3,0,-1
93206,US,United States,Arizona,,2/17/20,9,1,35,1,-25,5
93207,US,United States,Arizona,,2/18/20,2,2,14,6,2,0
93208,US,United States,Arizona,,2/19/20,4,2,14,7,1,0
93209,US,United States,Arizona,,2/20/20,5,2,21,5,-1,0
93210,US,United States,Arizona,,2/21/20,2,1,10,4,0,0
93211,US,United States,Arizona,,2/22/20,-2,-4,-42,-6,-4,3
93212,US,United States,Arizona,,2/23/20,6,1,6,7,1,0
93213,US,United States,Arizona,,2/24/20,5,1,15,5,3,0
93214,US,United States,Arizona,,2/25/20,5,2,9,7,3,0
93215,US,United States,Arizona,,2/26/20,9,4,10,9,2,-1
93216,US,United States,Arizona,,2/27/20,9,4,17,6,2,-1
93217,US,United States,Arizona,,2/28/20,7,5,10,7,3,-1
93218,US,United States,Arizona,,2/29/20,6,6,14,7,2,-2
93219,US,United States,Arizona,,3/1/20,12,7,21,8,3,-1
93220,US,United States,Arizona,,3/2/20,8,4,4,4,3,0
93221,US,United States,Arizona,,3/3/20,9,8,11,6,3,-1
93222,US,United States,Arizona,,3/4/20,8,8,17,7,2,-1
93223,US,United States,Arizona,,3/5/20,9,6,22,5,2,-1
93224,US,United States,Arizona,,3/6/20,6,6,20,8,1,-1
93225,US,United States,Arizona,,3/7/20,4,5,18,9,1,-2
93226,US,United States,Arizona,,3/8/20,9,4,22,7,1,-2
93227,US,United States,Arizona,,3/9/20,9,4,32,4,-7,0
93228,US,United States,Arizona,,3/10/20,6,3,4,2,-8,2
93229,US,United States,Arizona,,3/11/20,5,6,-14,-2,-10,3
93230,US,United States,Arizona,,3/12/20,6,15,-15,-6,-12,4
93231,US,United States,Arizona,,3/13/20,0,20,-16,-7,-12,4
93232,US,United States,Arizona,,3/14/20,-5,18,-6,-2,-2,2
93233,US,United States,Arizona,,3/15/20,-2,16,15,-3,-4,1
93234,US,United States,Arizona,,3/16/20,0,22,13,-9,-19,5
93235,US,United States,Arizona,,3/17/20,-9,20,9,-9,-24,8
93236,US,United States,Arizona,,3/18/20,-23,6,-38,-21,-31,12
93237,US,United States,Arizona,,3/19/20,-22,7,-8,-23,-33,13
93238,US,United States,Arizona,,3/20/20,-28,6,-6,-25,-33,14
93239,US,United States,Arizona,,3/21/20,-36,-1,-14,-26,-22,10
93240,US,United States,Arizona,,3/22/20,-37,-10,0,-33,-28,8
93241,US,United States,Arizona,,3/23/20,-31,-10,-3,-33,-37,13
93242,US,United States,Arizona,,3/24/20,-32,-9,0,-31,-39,15
93243,US,United States,Arizona,,3/25/20,-33,-11,-7,-32,-41,15
93244,US,United States,Arizona,,3/26/20,-34,-12,-9,-36,-42,16
93245,US,United States,Arizona,,3/27/20,-38,-14,-22,-39,-41,18
93246,US,United States,Arizona,,3/28/20,-41,-15,-24,-37,-29,12
93247,US,United States,Arizona,,3/29/20,-40,-17,-7,-41,-33,10
93248,US,United States,Arizona,,3/30/20,-30,-9,-6,-37,-42,14
93249,US,United States,Arizona,,3/31/20,-33,-10,-17,-35,-44,16
93250,US,United States,Arizona,,4/1/20,-38,-15,-20,-37,-47,17
93251,US,United States,Arizona,,4/2/20,-38,-16,-17,-40,-47,18
93252,US,United States,Arizona,,4/3/20,-38,-13,-21,-41,-46,19
93253,US,United States,Arizona,,4/4/20,-44,-16,-36,-43,-34,13
93254,US,United States,Arizona,,4/5/20,-43,-19,-23,-47,-37,11
93255,US,United States,Arizona,,4/6/20,-38,-18,-18,-41,-47,17
93256,US,United States,Arizona,,4/7/20,-38,-15,-18,-39,-48,17
93257,US,United States,Arizona,,4/8/20,-39,-16,-27,-41,-49,18
93258,US,United States,Arizona,,4/9/20,-37,-14,-17,-41,-49,18
93259,US,United States,Arizona,,4/10/20,-38,-13,-21,-43,-50,20
93260,US,United States,Arizona,,4/11/20,-43,-14,-42,-45,-36,14
93261,US,United States,Arizona,,4/12/20,-57,-27,-31,-48,-41,10
93262,US,United States,Arizona,,4/13/20,-39,-21,-22,-42,-47,17
93263,US,United States,Arizona,,4/14/20,-37,-17,-17,-38,-47,18
93264,US,United States,Arizona,,4/15/20,-31,-13,-15,-36,-46,17
93265,US,United States,Arizona,,4/16/20,-33,-14,-13,-38,-47,17
93266,US,United States,Arizona,,4/17/20,-37,-15,-19,-39,-46,19
93267,US,United States,Arizona,,4/18/20,-40,-15,-29,-38,-32,12
93268,US,United States,Arizona,,4/19/20,-38,-16,-15,-42,-34,9
