id,state,poverty_perc
0400000US02,Alaska,10.9
0400000US23,Maine,11.6
0400000US37,North Carolina,14
0400000US29,Missouri,13.2
0400000US42,Pennsylvania,12.2
0400000US26,Michigan,14.1
0400000US31,Nebraska,11
0400000US41,Oregon,12.6
0400000US56,Wyoming,11.1
0400000US06,California,12.8
0400000US28,Mississippi,19.7
0400000US09,Connecticut,10.4
0400000US48,Texas,14.9
0400000US16,Idaho,11.8
0400000US24,Maryland,9
0400000US35,New Mexico,19.5
0400000US01,Alabama,16.8
0400000US47,Tennessee,15.3
0400000US50,Vermont,11
0400000US32,Nevada,12.9
0400000US54,West Virginia,17.8
0400000US40,Oklahoma,15.6
0400000US55,Wisconsin,11
0400000US72,Puerto Rico,43.1
0400000US20,Kansas,12
0400000US51,Virginia,10.7
0400000US38,North Dakota,10.7
0400000US34,New Jersey,9.5
0400000US39,Ohio,13.9
0400000US45,South Carolina,15.3
0400000US13,Georgia,14.3
0400000US08,Colorado,9.6
0400000US15,Hawaii,8.8
0400000US46,South Dakota,13.1
0400000US18,Indiana,13.1
0400000US21,Kentucky,16.9
0400000US22,Louisiana,18.6
0400000US53,Washington,10.3
0400000US17,Illinois,12.1
0400000US19,Iowa,11.2
0400000US33,New Hampshire,7.6
0400000US44,Rhode Island,12.9
0400000US05,Arkansas,17.2
0400000US10,Delaware,12.5
0400000US27,Minnesota,9.6
0400000US30,Montana,13
0400000US04,Arizona,14
0400000US12,Florida,13.6
0400000US25,Massachusetts,10
0400000US11,District of Columbia,16.2
0400000US49,Utah,9
0400000US36,New York,13.6
