id,state,population,Age_gp1,Age_gp2,Age_gp3,Age_gp4,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
0400000US01,Alabama,4864680,0.252905844,0.322006381,0.263960631,0.161127145,292125,302174,312093,323914,334416,632660,599382,641069,334011,309004,463057,237339,83436
0400000US02,Alaska,738516,0.276283791,0.362818138,0.25470132,0.106196751,54240,52628,49721,47451,56749,118519,92679,93344,50904,43853,53366,18815,6247
0400000US04,Arizona,6946685,0.262628578,0.329565253,0.241061888,0.166744282,436102,452832,467267,468197,488355,945811,855220,845263,420490,408828,674235,355536,128549
0400000US05,Arkansas,2990671,0.263137604,0.321803702,0.25203976,0.163018935,190311,197784,197795,201068,204406,389419,368584,376480,195360,181928,284024,147254,56258
0400000US06,California,39148760,0.258507421,0.355025472,0.250691235,0.135775871,2480679,2499319,2556669,2583578,2809630,5904012,5185165,5155853,2465921,2192477,3061431,1552456,701570
0400000US08,Colorado,5531141,0.253937117,0.357326092,0.254833496,0.133903294,335199,355399,359334,354630,377987,849157,749277,715354,363001,331165,455831,201744,83063
0400000US09,Connecticut,3581504,0.239370387,0.310584883,0.285985162,0.164059568,184983,201006,224135,247182,245490,439848,427023,522138,266170,235949,327414,170979,89187
0400000US10,Delaware,949495,0.240647923,0.313448728,0.269884518,0.176018831,54854,55166,58676,59798,61022,126358,110238,126453,68175,61626,99666,49025,18438
0400000US11,District of Columbia,684498,0.209496595,0.457282563,0.213845767,0.119375075,44692,33728,27563,37417,54117,159716,99176,76460,36453,33464,46920,23836,10956
0400000US12,Florida,20598139,0.224643789,0.312837728,0.265200851,0.197317631,1117420,1131739,1176979,1201106,1284168,2665948,2493759,2748837,1399430,1314377,2247594,1280841,535941
0400000US13,Georgia,10297484,0.271162451,0.340955228,0.256560049,0.131322273,655810,697132,718143,721206,718646,1419784,1372551,1407255,656064,578604,835224,383686,133379
0400000US15,Hawaii,1422029,0.236874916,0.33747413,0.252690346,0.172960608,90388,85114,83667,77674,96819,205135,177944,176625,92789,89919,139078,68144,38733
0400000US16,Idaho,1687809,0.287448402,0.321597408,0.240581132,0.150373058,114164,123365,126996,120633,113385,220206,209204,199059,105507,101489,153600,72416,27785
0400000US17,Illinois,12821497,0.254559744,0.335894553,0.261754614,0.147791089,776957,802346,836956,847578,875317,1779301,1652053,1706539,868764,780783,1079625,561726,253552
0400000US18,Indiana,6637426,0.26514902,0.324877445,0.259905873,0.150067662,418299,437254,446006,458348,477704,856932,821714,864555,448932,411619,577695,291994,126374
0400000US19,Iowa,3132499,0.262523308,0.317102096,0.256507983,0.163866613,197430,204026,206158,214740,228772,393533,371017,389588,213388,200535,279689,156706,76917
0400000US20,Kansas,2908776,0.273977439,0.326863602,0.248656823,0.150502136,194202,201400,200793,200544,217162,383220,350391,353237,192663,177387,245020,130787,61970
0400000US21,Kentucky,4440204,0.254395744,0.323351585,0.266514557,0.155738115,274440,280088,284645,290396,306631,574635,554481,594104,309964,279311,411700,202345,77464
0400000US22,Louisiana,4663616,0.262960973,0.33780976,0.254125769,0.145103499,309339,309094,306416,301500,329326,669892,576197,586706,310932,287507,402615,198533,75559
0400000US23,Maine,1332813,0.215756449,0.289549997,0.300235667,0.194457887,64437,70701,72678,79747,77353,155846,152717,190734,108271,101153,152428,73415,33333
0400000US24,Maryland,6003435,0.249728697,0.33042733,0.274037947,0.145806026,366174,372643,375912,384501,389347,828071,766281,851925,421695,371549,513610,253229,108498
0400000US25,Massachusetts,6830193,0.232630176,0.335398575,0.274109824,0.157861425,362681,369390,397457,459381,492489,963642,834706,956776,481780,433667,611755,311380,155089
0400000US26,Michigan,9957488,0.247866128,0.314667515,0.274679919,0.162786438,572374,596594,630042,669114,717149,1245849,1170300,1345271,722076,667775,943253,471583,206108
0400000US27,Minnesota,5527358,0.259375637,0.32573356,0.264708383,0.15018242,351740,363928,361496,356498,361934,752944,685568,725714,393455,343969,470691,243085,116336
0400000US28,Mississippi,2988762,0.270810791,0.325129937,0.253669914,0.150389359,188575,200574,207354,212886,212059,388763,370914,378273,197536,182350,265521,135296,48661
0400000US29,Missouri,6090062,0.253522706,0.322459607,0.262821955,0.161195732,372932,381583,392635,396819,421255,809024,733520,787960,425339,387303,561486,295894,124312
0400000US30,Montana,1041732,0.243853506,0.313231234,0.266456248,0.176459012,61810,63541,64227,64452,73435,131959,120909,125902,75255,76419,109771,52951,21101
0400000US31,Nebraska,1904760,0.275841051,0.327559378,0.246407421,0.15019215,131812,132290,131959,129350,136886,254377,232659,229048,125370,114929,159053,85697,41330
0400000US32,Nevada,2922849,0.252876902,0.341016248,0.256235611,0.149871239,182311,188965,190632,177213,182278,424495,389966,388646,186207,174085,273123,125259,39669
0400000US33,New Hampshire,1343622,0.224276619,0.303192416,0.30285229,0.169678675,64079,72003,76609,88652,90164,161541,155671,200920,110487,95512,135715,62907,29362
0400000US34,New Jersey,8881845,0.246554291,0.319903691,0.278522086,0.155019931,521684,540335,562668,565170,562446,1135665,1143224,1286245,636206,551339,772545,406646,197672
0400000US35,New Mexico,2092434,0.262994197,0.322958335,0.25083324,0.163214228,128357,137860,143893,140188,147856,280659,247254,252403,139817,132632,202928,101037,37550
0400000US36,New York,19618453,0.237330691,0.339627289,0.26662352,0.1564185,1163606,1121174,1146521,1224760,1356050,2860842,2446070,2675646,1342368,1212727,1719566,910812,438311
0400000US37,North Carolina,10155624,0.253409342,0.328788265,0.263109977,0.154692415,603193,635346,658696,676295,700320,1339485,1299245,1376634,676977,618435,941889,458679,170430
0400000US38,North Dakota,752201,0.259767004,0.353599636,0.240515501,0.146117859,52820,50637,44289,47651,66571,113506,85901,85986,49869,45061,58728,33322,17860
0400000US39,Ohio,11641879,0.251622955,0.315624651,0.270161715,0.162590678,695933,713523,747709,772199,775430,1505481,1393553,1544429,834920,765841,1080641,560148,252072
0400000US40,Oklahoma,3918137,0.271553802,0.332634106,0.245426844,0.150385247,263992,267805,269193,262995,280151,541781,481374,475698,255043,230875,341463,179516,68251
0400000US41,Oregon,4081943,0.236702717,0.336914308,0.259171919,0.167211056,231927,242619,245569,246092,265043,572453,537769,514110,266912,276903,411976,187308,83262
0400000US42,Pennsylvania,12791181,0.236692218,0.313123159,0.275856623,0.174328,709250,727174,764823,826326,842245,1667748,1495222,1731294,934674,862564,1236019,669591,324251
0400000US44,Rhode Island,1056611,0.231346257,0.326769265,0.277008284,0.164876194,54587,57535,58943,73378,78980,142877,123411,146645,76732,69313,96800,50433,26977
0400000US45,South Carolina,4955925,0.248876446,0.320878141,0.262954141,0.167291273,290090,307410,312273,323640,337510,649462,603276,647833,334313,321035,510667,233843,84573
0400000US46,South Dakota,864289,0.273599456,0.317751354,0.250359544,0.158289646,60407,59990,59016,57056,60737,114289,99603,101703,59203,55477,76582,39962,20264
0400000US47,Tennessee,6651089,0.250883276,0.328205351,0.26376222,0.157149153,403591,412789,427445,424822,451736,893011,838176,890255,448270,415781,625727,306901,112585
0400000US48,Texas,27885195,0.289459192,0.353595842,0.237246539,0.119698428,1998869,2028151,2057414,1987192,1998210,4094297,3767582,3511040,1658878,1445748,2000715,971168,365931
0400000US49,Utah,3045350,0.331318568,0.365993728,0.197521139,0.105166565,252865,261429,257411,237276,254304,449812,410463,312534,149349,139638,190544,94676,35049
0400000US50,Vermont,624977,0.223003407,0.302849545,0.292460363,0.181686686,29676,32524,33950,43222,45910,72814,70550,86301,49272,47208,68256,31606,13688
0400000US51,Virginia,8413774,0.249581341,0.338758802,0.265441763,0.146218094,509955,519276,522823,547867,583501,1170461,1096278,1157090,567471,508806,732740,354161,143345
0400000US53,Washington,7294336,0.247758398,0.346530651,0.258542107,0.147168844,453008,462578,447295,444352,485160,1086195,956356,944254,487173,454466,650487,294553,128459
0400000US54,West Virginia,1829054,0.228953328,0.304644915,0.277933292,0.188468465,99291,102100,107044,110333,118202,216248,222762,242752,132236,133367,202712,101860,40147
0400000US55,Wisconsin,5778394,0.250116036,0.316088519,0.273769148,0.160026298,335920,357753,370491,381105,402236,729904,694344,777676,424779,379491,527368,271312,126015
0400000US56,Wyoming,581836,0.262314467,0.329716621,0.257106814,0.150862099,37270,39680,38940,36734,39921,80389,71531,68957,40523,40114,52876,25287,9614
0400000US72,Puerto Rico,3386941,0.23079971,0.321100072,0.258955205,0.189145013,157638,185956,207704,230407,240838,422052,424657,445694,217688,213684,359600,205468,75555
