id,state,population,median age,Black perc,Hispanic or Latino perc
0400000US01,Alabama,4864680,38.9,26.6,4.2
0400000US02,Alaska,738516,34,3.3,6.9
0400000US04,Arizona,6946685,37.4,4.4,31.1
0400000US05,Arkansas,2990671,37.9,15.4,7.3
0400000US06,California,39148760,36.3,5.8,38.9
0400000US08,Colorado,5531141,36.6,4.1,21.4
0400000US09,Connecticut,3581504,40.8,10.6,15.7
0400000US10,Delaware,949495,40.2,22.1,9.1
0400000US11,District of Columbia,684498,33.9,46.9,10.9
0400000US12,Florida,20598139,41.9,16.1,25.2
0400000US13,Georgia,10297484,36.5,31.5,9.4
0400000US15,Hawaii,1422029,38.9,1.8,10.4
0400000US16,Idaho,1687809,36.1,0.7,12.4
0400000US17,Illinois,12821497,37.9,14.2,17
0400000US18,Indiana,6637426,37.6,9.3,6.8
0400000US19,Iowa,3132499,38.1,3.5,5.9
0400000US20,Kansas,2908776,36.5,5.8,11.7
0400000US21,Kentucky,4440204,38.7,8,3.6
0400000US22,Louisiana,4663616,36.6,32.2,5
0400000US23,Maine,1332813,44.6,1.3,1.6
0400000US24,Maryland,6003435,38.6,29.8,9.8
0400000US25,Massachusetts,6830193,39.4,7.5,11.6
0400000US26,Michigan,9957488,39.7,13.8,5
0400000US27,Minnesota,5527358,37.9,6.2,5.3
0400000US28,Mississippi,2988762,37.2,37.7,3
0400000US29,Missouri,6090062,38.5,11.6,4.1
0400000US30,Montana,1041732,39.8,0.4,3.7
0400000US31,Nebraska,1904760,36.4,4.8,10.7
0400000US32,Nevada,2922849,37.9,8.9,28.5
0400000US33,New Hampshire,1343622,42.7,1.5,3.6
0400000US34,New Jersey,8881845,39.8,13.5,19.9
0400000US35,New Mexico,2092434,37.5,2.1,48.5
0400000US36,New York,19618453,38.7,15.6,18.9
0400000US37,North Carolina,10155624,38.6,21.5,9.2
0400000US38,North Dakota,752201,35.1,2.7,3.5
0400000US39,Ohio,11641879,39.3,12.4,3.7
0400000US40,Oklahoma,3918137,36.4,7.3,10.4
0400000US41,Oregon,4081943,39.2,1.9,12.8
0400000US42,Pennsylvania,12791181,40.7,11.1,7.1
0400000US44,Rhode Island,1056611,39.9,6.6,15
0400000US45,South Carolina,4955925,39.2,27,5.6
0400000US46,South Dakota,864289,36.8,1.9,3.7
0400000US47,Tennessee,6651089,38.7,16.8,5.3
0400000US48,Texas,27885195,34.4,12.1,39.2
0400000US49,Utah,3045350,30.7,1.2,13.9
0400000US50,Vermont,624977,42.9,1.3,1.9
0400000US51,Virginia,8413774,38.1,19.2,9.2
0400000US53,Washington,7294336,37.6,3.7,12.5
0400000US54,West Virginia,1829054,42.4,3.6,1.5
0400000US55,Wisconsin,5778394,39.3,6.4,6.7
0400000US56,Wyoming,581836,37.3,1,9.8
0400000US72,Puerto Rico,3386941,40.9,10.8,98.9
