id,state,poverty_perc
0400000US01,Alabama,17.5
0400000US02,Alaska,10.8
0400000US04,Arizona,16.1
0400000US05,Arkansas,17.6
0400000US06,California,14.3
0400000US08,Colorado,10.9
0400000US09,Connecticut,10
0400000US10,Delaware,11.9
0400000US11,District of Columbia,16.8
0400000US12,Florida,14.8
0400000US13,Georgia,16
0400000US15,Hawaii,9.9
0400000US16,Idaho,13.8
0400000US17,Illinois,13.1
0400000US18,Indiana,14.1
0400000US19,Iowa,11.7
0400000US20,Kansas,12.4
0400000US21,Kentucky,17.9
0400000US22,Louisiana,19.4
0400000US23,Maine,12.5
0400000US24,Maryland,9.4
0400000US25,Massachusetts,10.8
0400000US26,Michigan,15
0400000US27,Minnesota,10.1
0400000US28,Mississippi,20.8
0400000US29,Missouri,14.2
0400000US30,Montana,13.7
0400000US31,Nebraska,11.6
0400000US32,Nevada,13.7
0400000US33,New Hampshire,7.9
0400000US34,New Jersey,10.4
0400000US35,New Mexico,20
0400000US36,New York,14.6
0400000US37,North Carolina,15.4
0400000US38,North Dakota,10.9
0400000US39,Ohio,14.5
0400000US40,Oklahoma,16
0400000US41,Oregon,14.1
0400000US42,Pennsylvania,12.8
0400000US44,Rhode Island,13.1
0400000US45,South Carolina,16
0400000US46,South Dakota,13.6
0400000US47,Tennessee,16.1
0400000US48,Texas,15.5
0400000US49,Utah,10.3
0400000US50,Vermont,11.2
0400000US51,Virginia,10.9
0400000US53,Washington,11.5
0400000US54,West Virginia,17.8
0400000US55,Wisconsin,11.9
0400000US56,Wyoming,11.1
0400000US72,Puerto Rico,44.5
