"","countyFIPS","County.Name","State"
"1",0,"Statewide Unallocated","AL"
"2",1001,"Autauga County","AL"
"3",1003,"Baldwin County","AL"
"4",1005,"Barbour County","AL"
"5",1007,"Bibb County","AL"
"6",1009,"Blount County","AL"
"7",1011,"Bullock County","AL"
"8",1013,"Butler County","AL"
"9",1015,"Calhoun County","AL"
"10",1017,"Chambers County","AL"
"11",1019,"Cherokee County","AL"
"12",1021,"Chilton County","AL"
"13",1023,"Choctaw County","AL"
"14",1025,"Clarke County","AL"
"15",1027,"Clay County","AL"
"16",1029,"Cleburne County","AL"
"17",1031,"Coffee County","AL"
"18",1033,"Colbert County","AL"
"19",1035,"Conecuh County","AL"
"20",1037,"Coosa County","AL"
"21",1039,"Covington County","AL"
"22",1041,"Crenshaw County","AL"
"23",1043,"Cullman County","AL"
"24",1045,"Dale County","AL"
"25",1047,"Dallas County","AL"
"26",1049,"DeKalb County","AL"
"27",1051,"Elmore County","AL"
"28",1053,"Escambia County","AL"
"29",1055,"Etowah County","AL"
"30",1057,"Fayette County","AL"
"31",1059,"Franklin County","AL"
"32",1061,"Geneva County","AL"
"33",1063,"Greene County","AL"
"34",1065,"Hale County","AL"
"35",1067,"Henry County","AL"
"36",1069,"Houston County","AL"
"37",1071,"Jackson County","AL"
"38",1073,"Jefferson County","AL"
"39",1075,"Lamar County","AL"
"40",1077,"Lauderdale County","AL"
"41",1079,"Lawrence County","AL"
"42",1081,"Lee County","AL"
"43",1083,"Limestone County","AL"
"44",1085,"Lowndes County","AL"
"45",1087,"Macon County","AL"
"46",1089,"Madison County","AL"
"47",1091,"Marengo County","AL"
"48",1093,"Marion County","AL"
"49",1095,"Marshall County","AL"
"50",1097,"Mobile County","AL"
"51",1099,"Monroe County","AL"
"52",1101,"Montgomery County","AL"
"53",1103,"Morgan County","AL"
"54",1105,"Perry County","AL"
"55",1107,"Pickens County","AL"
"56",1109,"Pike County","AL"
"57",1111,"Randolph County","AL"
"58",1113,"Russell County","AL"
"59",1115,"St. Clair County","AL"
"60",1117,"Shelby County","AL"
"61",1119,"Sumter County","AL"
"62",1121,"Talladega County","AL"
"63",1123,"Tallapoosa County","AL"
"64",1125,"Tuscaloosa County","AL"
"65",1127,"Walker County","AL"
"66",1129,"Washington County","AL"
"67",1131,"Wilcox County","AL"
"68",1133,"Winston County","AL"
"69",0,"Statewide Unallocated","AK"
"70",2013,"Aleutians East Borough","AK"
"71",2016,"Aleutians West Census Area","AK"
"72",2020,"Municipality of Anchorage","AK"
"73",2050,"Bethel Census Area","AK"
"74",2060,"Bristol Bay Borough","AK"
"75",2068,"Denali Borough","AK"
"76",2070,"Dillingham Census Area","AK"
"77",2090,"Fairbanks North Star Borough","AK"
"78",2100,"Haines Borough","AK"
"79",2105,"Hoonah-Angoon Census Area","AK"
"80",2110,"City and Borough of Juneau","AK"
"81",2122,"Kenai Peninsula Borough","AK"
"82",2130,"Ketchikan Gateway Borough","AK"
"83",2150,"Kodiak Island Borough","AK"
"84",2158,"Kusilvak Census Area","AK"
"85",2164,"Lake and Peninsula Borough","AK"
"86",2170,"Matanuska-Susitna Borough","AK"
"87",2180,"Nome Census Area","AK"
"88",2185,"North Slope Borough","AK"
"89",2188,"Northwest Arctic Borough","AK"
