"","state","date","stayathome"
"Alabama.1","Alabama",2020-03-01,0
"Alabama.1.1","Alabama",2020-03-02,0
"Alabama.1.2","Alabama",2020-03-03,0
"Alabama.1.3","Alabama",2020-03-04,0
"Alabama.1.4","Alabama",2020-03-05,0
"Alabama.1.5","Alabama",2020-03-06,0
"Alabama.1.6","Alabama",2020-03-07,0
"Alabama.1.7","Alabama",2020-03-08,0
"Alabama.1.8","Alabama",2020-03-09,0
"Alabama.1.9","Alabama",2020-03-10,0
"Alabama.1.10","Alabama",2020-03-11,0
"Alabama.1.11","Alabama",2020-03-12,0
"Alabama.1.12","Alabama",2020-03-13,0
"Alabama.1.13","Alabama",2020-03-14,0
"Alabama.1.14","Alabama",2020-03-15,0
"Alabama.1.15","Alabama",2020-03-16,0
"Alabama.1.16","Alabama",2020-03-17,0
"Alabama.1.17","Alabama",2020-03-18,0
"Alabama.1.18","Alabama",2020-03-19,0
"Alabama.1.19","Alabama",2020-03-20,0
"Alabama.1.20","Alabama",2020-03-21,0
"Alabama.1.21","Alabama",2020-03-22,0
"Alabama.1.22","Alabama",2020-03-23,0
"Alabama.1.23","Alabama",2020-03-24,0
"Alabama.1.24","Alabama",2020-03-25,0
"Alabama.1.25","Alabama",2020-03-26,0
"Alabama.1.26","Alabama",2020-03-27,0
"Alabama.1.27","Alabama",2020-03-28,0
"Alabama.1.28","Alabama",2020-03-29,0
"Alabama.1.29","Alabama",2020-03-30,0
"Alabama.1.30","Alabama",2020-03-31,0
"Alabama.1.31","Alabama",2020-04-01,0
"Alabama.1.32","Alabama",2020-04-02,0
"Alabama.1.33","Alabama",2020-04-03,0
"Alabama.1.34","Alabama",2020-04-04,1
"Alabama.1.35","Alabama",2020-04-05,1
"Alabama.1.36","Alabama",2020-04-06,1
"Alabama.1.37","Alabama",2020-04-07,1
"Alabama.1.38","Alabama",2020-04-08,1
"Alabama.1.39","Alabama",2020-04-09,1
"Alabama.1.40","Alabama",2020-04-10,1
"Alabama.1.41","Alabama",2020-04-11,1
"Alabama.1.42","Alabama",2020-04-12,1
"Alabama.1.43","Alabama",2020-04-13,1
"Alabama.1.44","Alabama",2020-04-14,1
"Alabama.1.45","Alabama",2020-04-15,1
"Alabama.1.46","Alabama",2020-04-16,1
"Alabama.1.47","Alabama",2020-04-17,1
"Alabama.1.48","Alabama",2020-04-18,1
"Alabama.1.49","Alabama",2020-04-19,1
"Alabama.1.50","Alabama",2020-04-20,1
"Alabama.1.51","Alabama",2020-04-21,1
"Alabama.1.52","Alabama",2020-04-22,1
"Alabama.1.53","Alabama",2020-04-23,1
"Alabama.1.54","Alabama",2020-04-24,1
"Alabama.1.55","Alabama",2020-04-25,1
"Alabama.1.56","Alabama",2020-04-26,1
"Alabama.1.57","Alabama",2020-04-27,1
"Alabama.1.58","Alabama",2020-04-28,1
"Alabama.1.59","Alabama",2020-04-29,1
"Alabama.1.60","Alabama",2020-04-30,1
"Alabama.1.61","Alabama",2020-05-01,0
"Alabama.1.62","Alabama",2020-05-02,0
"Alabama.1.63","Alabama",2020-05-03,0
"Alabama.1.64","Alabama",2020-05-04,0
"Alabama.1.65","Alabama",2020-05-05,0
"Alabama.1.66","Alabama",2020-05-06,0
"Alabama.1.67","Alabama",2020-05-07,0
"Alabama.1.68","Alabama",2020-05-08,0
"Alabama.1.69","Alabama",2020-05-09,0
"Alabama.1.70","Alabama",2020-05-10,0
"Alabama.1.71","Alabama",2020-05-11,0
"Alabama.1.72","Alabama",2020-05-12,0
"Alabama.1.73","Alabama",2020-05-13,0
"Alabama.1.74","Alabama",2020-05-14,0
"Alabama.1.75","Alabama",2020-05-15,0
"Alabama.1.76","Alabama",2020-05-16,0
"Alabama.1.77","Alabama",2020-05-17,0
"Alabama.1.78","Alabama",2020-05-18,0
"Alabama.1.79","Alabama",2020-05-19,0
"Alabama.1.80","Alabama",2020-05-20,0
"Alabama.1.81","Alabama",2020-05-21,0
"Alabama.1.82","Alabama",2020-05-22,0
"Alabama.1.83","Alabama",2020-05-23,0
"Alabama.1.84","Alabama",2020-05-24,0
"Alabama.1.85","Alabama",2020-05-25,0
"Alabama.1.86","Alabama",2020-05-26,0
"Alabama.1.87","Alabama",2020-05-27,0
"Alabama.1.88","Alabama",2020-05-28,0
"Alabama.1.89","Alabama",2020-05-29,0
"Alabama.1.90","Alabama",2020-05-30,0
"Alabama.1.91","Alabama",2020-05-31,0
"Alabama.1.92","Alabama",2020-06-01,0
"Alabama.1.93","Alabama",2020-06-02,0
"Alabama.1.94","Alabama",2020-06-03,0
"Alabama.1.95","Alabama",2020-06-04,0
"Alabama.1.96","Alabama",2020-06-05,0
"Alabama.1.97","Alabama",2020-06-06,0
"Alabama.1.98","Alabama",2020-06-07,0
"Alabama.1.99","Alabama",2020-06-08,0
"Alabama.1.100","Alabama",2020-06-09,0
"Alabama.1.101","Alabama",2020-06-10,0
"Alaska.2","Alaska",2020-03-01,0
"Alaska.2.1","Alaska",2020-03-02,0
"Alaska.2.2","Alaska",2020-03-03,0
"Alaska.2.3","Alaska",2020-03-04,0
"Alaska.2.4","Alaska",2020-03-05,0
"Alaska.2.5","Alaska",2020-03-06,0
"Alaska.2.6","Alaska",2020-03-07,0
"Alaska.2.7","Alaska",2020-03-08,0
"Alaska.2.8","Alaska",2020-03-09,0
"Alaska.2.9","Alaska",2020-03-10,0
"Alaska.2.10","Alaska",2020-03-11,0
"Alaska.2.11","Alaska",2020-03-12,0
"Alaska.2.12","Alaska",2020-03-13,0
"Alaska.2.13","Alaska",2020-03-14,0
"Alaska.2.14","Alaska",2020-03-15,0
"Alaska.2.15","Alaska",2020-03-16,0
"Alaska.2.16","Alaska",2020-03-17,0
"Alaska.2.17","Alaska",2020-03-18,0
"Alaska.2.18","Alaska",2020-03-19,0
"Alaska.2.19","Alaska",2020-03-20,0
"Alaska.2.20","Alaska",2020-03-21,0
"Alaska.2.21","Alaska",2020-03-22,0
"Alaska.2.22","Alaska",2020-03-23,0
"Alaska.2.23","Alaska",2020-03-24,0
"Alaska.2.24","Alaska",2020-03-25,0
"Alaska.2.25","Alaska",2020-03-26,0
"Alaska.2.26","Alaska",2020-03-27,0
"Alaska.2.27","Alaska",2020-03-28,1
"Alaska.2.28","Alaska",2020-03-29,1
"Alaska.2.29","Alaska",2020-03-30,1
"Alaska.2.30","Alaska",2020-03-31,1
"Alaska.2.31","Alaska",2020-04-01,1
"Alaska.2.32","Alaska",2020-04-02,1
"Alaska.2.33","Alaska",2020-04-03,1
"Alaska.2.34","Alaska",2020-04-04,1
"Alaska.2.35","Alaska",2020-04-05,1
"Alaska.2.36","Alaska",2020-04-06,1
"Alaska.2.37","Alaska",2020-04-07,1
"Alaska.2.38","Alaska",2020-04-08,1
"Alaska.2.39","Alaska",2020-04-09,1
"Alaska.2.40","Alaska",2020-04-10,1
"Alaska.2.41","Alaska",2020-04-11,1
"Alaska.2.42","Alaska",2020-04-12,1
"Alaska.2.43","Alaska",2020-04-13,1
"Alaska.2.44","Alaska",2020-04-14,1
"Alaska.2.45","Alaska",2020-04-15,1
"Alaska.2.46","Alaska",2020-04-16,1
"Alaska.2.47","Alaska",2020-04-17,1
"Alaska.2.48","Alaska",2020-04-18,1
"Alaska.2.49","Alaska",2020-04-19,1
"Alaska.2.50","Alaska",2020-04-20,1
"Alaska.2.51","Alaska",2020-04-21,1
"Alaska.2.52","Alaska",2020-04-22,1
"Alaska.2.53","Alaska",2020-04-23,1
"Alaska.2.54","Alaska",2020-04-24,1
"Alaska.2.55","Alaska",2020-04-25,0
"Alaska.2.56","Alaska",2020-04-26,0
"Alaska.2.57","Alaska",2020-04-27,0
"Alaska.2.58","Alaska",2020-04-28,0
"Alaska.2.59","Alaska",2020-04-29,0
"Alaska.2.60","Alaska",2020-04-30,0
"Alaska.2.61","Alaska",2020-05-01,0
"Alaska.2.62","Alaska",2020-05-02,0
"Alaska.2.63","Alaska",2020-05-03,0
"Alaska.2.64","Alaska",2020-05-04,0
"Alaska.2.65","Alaska",2020-05-05,0
"Alaska.2.66","Alaska",2020-05-06,0
"Alaska.2.67","Alaska",2020-05-07,0
"Alaska.2.68","Alaska",2020-05-08,0
"Alaska.2.69","Alaska",2020-05-09,0
"Alaska.2.70","Alaska",2020-05-10,0
"Alaska.2.71","Alaska",2020-05-11,0
"Alaska.2.72","Alaska",2020-05-12,0
"Alaska.2.73","Alaska",2020-05-13,0
"Alaska.2.74","Alaska",2020-05-14,0
"Alaska.2.75","Alaska",2020-05-15,0
"Alaska.2.76","Alaska",2020-05-16,0
"Alaska.2.77","Alaska",2020-05-17,0
"Alaska.2.78","Alaska",2020-05-18,0
"Alaska.2.79","Alaska",2020-05-19,0
"Alaska.2.80","Alaska",2020-05-20,0
"Alaska.2.81","Alaska",2020-05-21,0
"Alaska.2.82","Alaska",2020-05-22,0
"Alaska.2.83","Alaska",2020-05-23,0
"Alaska.2.84","Alaska",2020-05-24,0
"Alaska.2.85","Alaska",2020-05-25,0
"Alaska.2.86","Alaska",2020-05-26,0
"Alaska.2.87","Alaska",2020-05-27,0
"Alaska.2.88","Alaska",2020-05-28,0
"Alaska.2.89","Alaska",2020-05-29,0
"Alaska.2.90","Alaska",2020-05-30,0
"Alaska.2.91","Alaska",2020-05-31,0
"Alaska.2.92","Alaska",2020-06-01,0
"Alaska.2.93","Alaska",2020-06-02,0
"Alaska.2.94","Alaska",2020-06-03,0
"Alaska.2.95","Alaska",2020-06-04,0
"Alaska.2.96","Alaska",2020-06-05,0
"Alaska.2.97","Alaska",2020-06-06,0
"Alaska.2.98","Alaska",2020-06-07,0
"Alaska.2.99","Alaska",2020-06-08,0
"Alaska.2.100","Alaska",2020-06-09,0
"Alaska.2.101","Alaska",2020-06-10,0
"Arizona.3","Arizona",2020-03-01,0
"Arizona.3.1","Arizona",2020-03-02,0
"Arizona.3.2","Arizona",2020-03-03,0
"Arizona.3.3","Arizona",2020-03-04,0
"Arizona.3.4","Arizona",2020-03-05,0
"Arizona.3.5","Arizona",2020-03-06,0
"Arizona.3.6","Arizona",2020-03-07,0
"Arizona.3.7","Arizona",2020-03-08,0
"Arizona.3.8","Arizona",2020-03-09,0
"Arizona.3.9","Arizona",2020-03-10,0
"Arizona.3.10","Arizona",2020-03-11,0
"Arizona.3.11","Arizona",2020-03-12,0
"Arizona.3.12","Arizona",2020-03-13,0
"Arizona.3.13","Arizona",2020-03-14,0
"Arizona.3.14","Arizona",2020-03-15,0
"Arizona.3.15","Arizona",2020-03-16,0
"Arizona.3.16","Arizona",2020-03-17,0
"Arizona.3.17","Arizona",2020-03-18,0
"Arizona.3.18","Arizona",2020-03-19,0
"Arizona.3.19","Arizona",2020-03-20,0
"Arizona.3.20","Arizona",2020-03-21,0
"Arizona.3.21","Arizona",2020-03-22,0
"Arizona.3.22","Arizona",2020-03-23,0
"Arizona.3.23","Arizona",2020-03-24,0
"Arizona.3.24","Arizona",2020-03-25,0
"Arizona.3.25","Arizona",2020-03-26,0
"Arizona.3.26","Arizona",2020-03-27,0
"Arizona.3.27","Arizona",2020-03-28,0
"Arizona.3.28","Arizona",2020-03-29,0
"Arizona.3.29","Arizona",2020-03-30,0
"Arizona.3.30","Arizona",2020-03-31,1
"Arizona.3.31","Arizona",2020-04-01,1
"Arizona.3.32","Arizona",2020-04-02,1
"Arizona.3.33","Arizona",2020-04-03,1
"Arizona.3.34","Arizona",2020-04-04,1
"Arizona.3.35","Arizona",2020-04-05,1
"Arizona.3.36","Arizona",2020-04-06,1
"Arizona.3.37","Arizona",2020-04-07,1
"Arizona.3.38","Arizona",2020-04-08,1
"Arizona.3.39","Arizona",2020-04-09,1
"Arizona.3.40","Arizona",2020-04-10,1
"Arizona.3.41","Arizona",2020-04-11,1
"Arizona.3.42","Arizona",2020-04-12,1
"Arizona.3.43","Arizona",2020-04-13,1
"Arizona.3.44","Arizona",2020-04-14,1
"Arizona.3.45","Arizona",2020-04-15,1
"Arizona.3.46","Arizona",2020-04-16,1
"Arizona.3.47","Arizona",2020-04-17,1
"Arizona.3.48","Arizona",2020-04-18,1
"Arizona.3.49","Arizona",2020-04-19,1
"Arizona.3.50","Arizona",2020-04-20,1
"Arizona.3.51","Arizona",2020-04-21,1
"Arizona.3.52","Arizona",2020-04-22,1
"Arizona.3.53","Arizona",2020-04-23,1
"Arizona.3.54","Arizona",2020-04-24,1
"Arizona.3.55","Arizona",2020-04-25,1
"Arizona.3.56","Arizona",2020-04-26,1
"Arizona.3.57","Arizona",2020-04-27,1
"Arizona.3.58","Arizona",2020-04-28,1
"Arizona.3.59","Arizona",2020-04-29,1
"Arizona.3.60","Arizona",2020-04-30,1
"Arizona.3.61","Arizona",2020-05-01,1
"Arizona.3.62","Arizona",2020-05-02,1
"Arizona.3.63","Arizona",2020-05-03,1
"Arizona.3.64","Arizona",2020-05-04,1
"Arizona.3.65","Arizona",2020-05-05,1
"Arizona.3.66","Arizona",2020-05-06,1
"Arizona.3.67","Arizona",2020-05-07,1
"Arizona.3.68","Arizona",2020-05-08,1
"Arizona.3.69","Arizona",2020-05-09,1
"Arizona.3.70","Arizona",2020-05-10,1
"Arizona.3.71","Arizona",2020-05-11,1
"Arizona.3.72","Arizona",2020-05-12,1
"Arizona.3.73","Arizona",2020-05-13,1
"Arizona.3.74","Arizona",2020-05-14,1
"Arizona.3.75","Arizona",2020-05-15,1
"Arizona.3.76","Arizona",2020-05-16,0
"Arizona.3.77","Arizona",2020-05-17,0
"Arizona.3.78","Arizona",2020-05-18,0
"Arizona.3.79","Arizona",2020-05-19,0
"Arizona.3.80","Arizona",2020-05-20,0
"Arizona.3.81","Arizona",2020-05-21,0
"Arizona.3.82","Arizona",2020-05-22,0
"Arizona.3.83","Arizona",2020-05-23,0
"Arizona.3.84","Arizona",2020-05-24,0
"Arizona.3.85","Arizona",2020-05-25,0
"Arizona.3.86","Arizona",2020-05-26,0
"Arizona.3.87","Arizona",2020-05-27,0
"Arizona.3.88","Arizona",2020-05-28,0
"Arizona.3.89","Arizona",2020-05-29,0
"Arizona.3.90","Arizona",2020-05-30,0
"Arizona.3.91","Arizona",2020-05-31,0
"Arizona.3.92","Arizona",2020-06-01,0
"Arizona.3.93","Arizona",2020-06-02,0
"Arizona.3.94","Arizona",2020-06-03,0
"Arizona.3.95","Arizona",2020-06-04,0
"Arizona.3.96","Arizona",2020-06-05,0
"Arizona.3.97","Arizona",2020-06-06,0
"Arizona.3.98","Arizona",2020-06-07,0
"Arizona.3.99","Arizona",2020-06-08,0
"Arizona.3.100","Arizona",2020-06-09,0
"Arizona.3.101","Arizona",2020-06-10,0
"Arkansas.4","Arkansas",2020-03-01,0
"Arkansas.4.1","Arkansas",2020-03-02,0
"Arkansas.4.2","Arkansas",2020-03-03,0
"Arkansas.4.3","Arkansas",2020-03-04,0
"Arkansas.4.4","Arkansas",2020-03-05,0
"Arkansas.4.5","Arkansas",2020-03-06,0
"Arkansas.4.6","Arkansas",2020-03-07,0
"Arkansas.4.7","Arkansas",2020-03-08,0
"Arkansas.4.8","Arkansas",2020-03-09,0
"Arkansas.4.9","Arkansas",2020-03-10,0
"Arkansas.4.10","Arkansas",2020-03-11,0
"Arkansas.4.11","Arkansas",2020-03-12,0
"Arkansas.4.12","Arkansas",2020-03-13,0
"Arkansas.4.13","Arkansas",2020-03-14,0
"Arkansas.4.14","Arkansas",2020-03-15,0
"Arkansas.4.15","Arkansas",2020-03-16,0
"Arkansas.4.16","Arkansas",2020-03-17,0
"Arkansas.4.17","Arkansas",2020-03-18,0
"Arkansas.4.18","Arkansas",2020-03-19,0
"Arkansas.4.19","Arkansas",2020-03-20,0
"Arkansas.4.20","Arkansas",2020-03-21,0
"Arkansas.4.21","Arkansas",2020-03-22,0
"Arkansas.4.22","Arkansas",2020-03-23,0
"Arkansas.4.23","Arkansas",2020-03-24,0
"Arkansas.4.24","Arkansas",2020-03-25,0
"Arkansas.4.25","Arkansas",2020-03-26,0
"Arkansas.4.26","Arkansas",2020-03-27,0
"Arkansas.4.27","Arkansas",2020-03-28,0
"Arkansas.4.28","Arkansas",2020-03-29,0
"Arkansas.4.29","Arkansas",2020-03-30,0
"Arkansas.4.30","Arkansas",2020-03-31,0
"Arkansas.4.31","Arkansas",2020-04-01,0
"Arkansas.4.32","Arkansas",2020-04-02,0
"Arkansas.4.33","Arkansas",2020-04-03,0
"Arkansas.4.34","Arkansas",2020-04-04,0
"Arkansas.4.35","Arkansas",2020-04-05,0
"Arkansas.4.36","Arkansas",2020-04-06,0
"Arkansas.4.37","Arkansas",2020-04-07,0
"Arkansas.4.38","Arkansas",2020-04-08,0
"Arkansas.4.39","Arkansas",2020-04-09,0
"Arkansas.4.40","Arkansas",2020-04-10,0
"Arkansas.4.41","Arkansas",2020-04-11,0
"Arkansas.4.42","Arkansas",2020-04-12,0
"Arkansas.4.43","Arkansas",2020-04-13,0
"Arkansas.4.44","Arkansas",2020-04-14,0
"Arkansas.4.45","Arkansas",2020-04-15,0
"Arkansas.4.46","Arkansas",2020-04-16,0
"Arkansas.4.47","Arkansas",2020-04-17,0
"Arkansas.4.48","Arkansas",2020-04-18,0
"Arkansas.4.49","Arkansas",2020-04-19,0
"Arkansas.4.50","Arkansas",2020-04-20,0
"Arkansas.4.51","Arkansas",2020-04-21,0
"Arkansas.4.52","Arkansas",2020-04-22,0
"Arkansas.4.53","Arkansas",2020-04-23,0
"Arkansas.4.54","Arkansas",2020-04-24,0
"Arkansas.4.55","Arkansas",2020-04-25,0
"Arkansas.4.56","Arkansas",2020-04-26,0
"Arkansas.4.57","Arkansas",2020-04-27,0
"Arkansas.4.58","Arkansas",2020-04-28,0
"Arkansas.4.59","Arkansas",2020-04-29,0
"Arkansas.4.60","Arkansas",2020-04-30,0
"Arkansas.4.61","Arkansas",2020-05-01,0
"Arkansas.4.62","Arkansas",2020-05-02,0
"Arkansas.4.63","Arkansas",2020-05-03,0
"Arkansas.4.64","Arkansas",2020-05-04,0
"Arkansas.4.65","Arkansas",2020-05-05,0
"Arkansas.4.66","Arkansas",2020-05-06,0
"Arkansas.4.67","Arkansas",2020-05-07,0
"Arkansas.4.68","Arkansas",2020-05-08,0
"Arkansas.4.69","Arkansas",2020-05-09,0
"Arkansas.4.70","Arkansas",2020-05-10,0
"Arkansas.4.71","Arkansas",2020-05-11,0
"Arkansas.4.72","Arkansas",2020-05-12,0
"Arkansas.4.73","Arkansas",2020-05-13,0
"Arkansas.4.74","Arkansas",2020-05-14,0
"Arkansas.4.75","Arkansas",2020-05-15,0
"Arkansas.4.76","Arkansas",2020-05-16,0
"Arkansas.4.77","Arkansas",2020-05-17,0
"Arkansas.4.78","Arkansas",2020-05-18,0
"Arkansas.4.79","Arkansas",2020-05-19,0
"Arkansas.4.80","Arkansas",2020-05-20,0
"Arkansas.4.81","Arkansas",2020-05-21,0
"Arkansas.4.82","Arkansas",2020-05-22,0
"Arkansas.4.83","Arkansas",2020-05-23,0
"Arkansas.4.84","Arkansas",2020-05-24,0
"Arkansas.4.85","Arkansas",2020-05-25,0
"Arkansas.4.86","Arkansas",2020-05-26,0
"Arkansas.4.87","Arkansas",2020-05-27,0
"Arkansas.4.88","Arkansas",2020-05-28,0
"Arkansas.4.89","Arkansas",2020-05-29,0
"Arkansas.4.90","Arkansas",2020-05-30,0
"Arkansas.4.91","Arkansas",2020-05-31,0
"Arkansas.4.92","Arkansas",2020-06-01,0
"Arkansas.4.93","Arkansas",2020-06-02,0
"Arkansas.4.94","Arkansas",2020-06-03,0
"Arkansas.4.95","Arkansas",2020-06-04,0
"Arkansas.4.96","Arkansas",2020-06-05,0
"Arkansas.4.97","Arkansas",2020-06-06,0
"Arkansas.4.98","Arkansas",2020-06-07,0
"Arkansas.4.99","Arkansas",2020-06-08,0
"Arkansas.4.100","Arkansas",2020-06-09,0
"Arkansas.4.101","Arkansas",2020-06-10,0
"California.5","California",2020-03-01,0
"California.5.1","California",2020-03-02,0
"California.5.2","California",2020-03-03,0
"California.5.3","California",2020-03-04,0
"California.5.4","California",2020-03-05,0
"California.5.5","California",2020-03-06,0
"California.5.6","California",2020-03-07,0
"California.5.7","California",2020-03-08,0
"California.5.8","California",2020-03-09,0
"California.5.9","California",2020-03-10,0
"California.5.10","California",2020-03-11,0
"California.5.11","California",2020-03-12,0
"California.5.12","California",2020-03-13,0
"California.5.13","California",2020-03-14,0
"California.5.14","California",2020-03-15,0
"California.5.15","California",2020-03-16,0
"California.5.16","California",2020-03-17,0
"California.5.17","California",2020-03-18,0
"California.5.18","California",2020-03-19,1
"California.5.19","California",2020-03-20,1
"California.5.20","California",2020-03-21,1
"California.5.21","California",2020-03-22,1
"California.5.22","California",2020-03-23,1
"California.5.23","California",2020-03-24,1
"California.5.24","California",2020-03-25,1
"California.5.25","California",2020-03-26,1
"California.5.26","California",2020-03-27,1
"California.5.27","California",2020-03-28,1
"California.5.28","California",2020-03-29,1
"California.5.29","California",2020-03-30,1
"California.5.30","California",2020-03-31,1
"California.5.31","California",2020-04-01,1
"California.5.32","California",2020-04-02,1
"California.5.33","California",2020-04-03,1
"California.5.34","California",2020-04-04,1
"California.5.35","California",2020-04-05,1
"California.5.36","California",2020-04-06,1
"California.5.37","California",2020-04-07,1
"California.5.38","California",2020-04-08,1
"California.5.39","California",2020-04-09,1
"California.5.40","California",2020-04-10,1
"California.5.41","California",2020-04-11,1
"California.5.42","California",2020-04-12,1
"California.5.43","California",2020-04-13,1
"California.5.44","California",2020-04-14,1
"California.5.45","California",2020-04-15,1
"California.5.46","California",2020-04-16,1
"California.5.47","California",2020-04-17,1
"California.5.48","California",2020-04-18,1
"California.5.49","California",2020-04-19,1
"California.5.50","California",2020-04-20,1
"California.5.51","California",2020-04-21,1
"California.5.52","California",2020-04-22,1
"California.5.53","California",2020-04-23,1
"California.5.54","California",2020-04-24,1
"California.5.55","California",2020-04-25,1
"California.5.56","California",2020-04-26,1
"California.5.57","California",2020-04-27,1
"California.5.58","California",2020-04-28,1
"California.5.59","California",2020-04-29,1
"California.5.60","California",2020-04-30,1
"California.5.61","California",2020-05-01,1
"California.5.62","California",2020-05-02,1
"California.5.63","California",2020-05-03,1
"California.5.64","California",2020-05-04,1
"California.5.65","California",2020-05-05,1
"California.5.66","California",2020-05-06,1
"California.5.67","California",2020-05-07,1
"California.5.68","California",2020-05-08,1
"California.5.69","California",2020-05-09,1
"California.5.70","California",2020-05-10,1
"California.5.71","California",2020-05-11,1
"California.5.72","California",2020-05-12,1
"California.5.73","California",2020-05-13,1
"California.5.74","California",2020-05-14,1
"California.5.75","California",2020-05-15,1
"California.5.76","California",2020-05-16,1
"California.5.77","California",2020-05-17,1
