"","X","state","Type","Start.Date","End.Date","date","stayathome"
"Alabama.1",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-01,0
"Alabama.1.1",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-02,0
"Alabama.1.2",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-03,0
"Alabama.1.3",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-04,0
"Alabama.1.4",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-05,0
"Alabama.1.5",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-06,0
"Alabama.1.6",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-07,0
"Alabama.1.7",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-08,0
"Alabama.1.8",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-09,0
"Alabama.1.9",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-10,0
"Alabama.1.10",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-11,0
"Alabama.1.11",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-12,0
"Alabama.1.12",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-13,0
"Alabama.1.13",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-14,0
"Alabama.1.14",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-15,0
"Alabama.1.15",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-16,0
"Alabama.1.16",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-17,0
"Alabama.1.17",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-18,0
"Alabama.1.18",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-19,0
"Alabama.1.19",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-20,0
"Alabama.1.20",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-21,0
"Alabama.1.21",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-22,0
"Alabama.1.22",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-23,0
"Alabama.1.23",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-24,0
"Alabama.1.24",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-25,0
"Alabama.1.25",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-26,0
"Alabama.1.26",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-27,0
"Alabama.1.27",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-28,0
"Alabama.1.28",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-29,0
"Alabama.1.29",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-30,0
"Alabama.1.30",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-03-31,0
"Alabama.1.31",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-01,0
"Alabama.1.32",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-02,0
"Alabama.1.33",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-03,0
"Alabama.1.34",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-04,1
"Alabama.1.35",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-05,1
"Alabama.1.36",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-06,1
"Alabama.1.37",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-07,1
"Alabama.1.38",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-08,1
"Alabama.1.39",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-09,1
"Alabama.1.40",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-10,1
"Alabama.1.41",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-11,1
"Alabama.1.42",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-12,1
"Alabama.1.43",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-13,1
"Alabama.1.44",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-14,1
"Alabama.1.45",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-15,1
"Alabama.1.46",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-16,1
"Alabama.1.47",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-17,1
"Alabama.1.48",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-18,1
"Alabama.1.49",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-19,1
"Alabama.1.50",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-20,1
"Alabama.1.51",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-21,1
"Alabama.1.52",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-22,1
"Alabama.1.53",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-23,1
"Alabama.1.54",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-24,1
"Alabama.1.55",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-25,1
"Alabama.1.56",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-26,1
"Alabama.1.57",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-27,1
"Alabama.1.58",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-28,1
"Alabama.1.59",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-29,1
"Alabama.1.60",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-04-30,1
"Alabama.1.61",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-01,0
"Alabama.1.62",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-02,0
"Alabama.1.63",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-03,0
"Alabama.1.64",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-04,0
"Alabama.1.65",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-05,0
"Alabama.1.66",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-06,0
"Alabama.1.67",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-07,0
"Alabama.1.68",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-08,0
"Alabama.1.69",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-09,0
"Alabama.1.70",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-10,0
"Alabama.1.71",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-11,0
"Alabama.1.72",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-12,0
"Alabama.1.73",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-13,0
"Alabama.1.74",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-14,0
"Alabama.1.75",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-15,0
"Alabama.1.76",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-16,0
"Alabama.1.77",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-17,0
"Alabama.1.78",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-18,0
"Alabama.1.79",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-19,0
"Alabama.1.80",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-20,0
"Alabama.1.81",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-21,0
"Alabama.1.82",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-22,0
"Alabama.1.83",1,"Alabama","Stay at home",2020-04-04,2020-04-30,2020-05-23,0
