"","state","date","State_abbrev","stateFIPS","pos_test","neg_test","test","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","density","q_popdensity","q_poverty","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","retail_and_recreation","grocery_and_pharmacy","parks","transit","workplaces","residential"
"1","Alabama",2020-03-07,"AL",1,0,NA,0,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,12,8,63,18,7,-2
"2","Alabama",2020-03-08,"AL",1,0,0,0,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,12,8,55,20,3,-1
"3","Alabama",2020-03-09,"AL",1,0,0,0,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,10,8,45,9,2,-1
"4","Alabama",2020-03-10,"AL",1,0,0,0,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,9,8,21,4,1,0
"5","Alabama",2020-03-11,"AL",1,0,10,10,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,10,8,27,7,1,-1
"6","Alabama",2020-03-12,"AL",1,0,0,0,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,10,22,43,8,1,-1
"7","Alabama",2020-03-13,"AL",1,1,1,2,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,7,32,26,7,-2,0
"8","Alabama",2020-03-14,"AL",1,5,11,16,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,1,28,55,12,4,0
"9","Alabama",2020-03-15,"AL",1,6,6,12,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-7,16,16,6,-4,2
"10","Alabama",2020-03-16,"AL",1,16,0,16,4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,92.8019839755818,3,3,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,-2,24,22,2,-10,4
