,state,Type,Start Date,End Date
1,Alabama,Stay at home,4/4/20,4/30/20
2,Alaska,Stay at home,3/28/20,4/24/20
3,Arizona,Stay at home,3/31/20,5/15/20
4,Arkansas,Stay at home,,
5,California,Stay at home,3/19/20,6/1/20
6,Colorado,Stay at home,3/26/20,4/26/20
7,Connecticut,Stay at home,3/23/20,5/20/20
8,Delaware,Stay at home,3/24/20,5/31/20
9,District of Columbia,Stay at home,4/1/20,6/8/20
10,Florida,Stay at home,4/3/20,5/4/20
11,Georgia,Stay at home,4/3/20,4/30/20
12,Hawaii,Stay at home,3/25/20,5/31/20
13,Idaho,Stay at home,3/25/20,4/30/20
14,Illinois,Stay at home,3/21/20,5/29/20
15,Indiana,Stay at home,3/25/20,5/4/20
16,Iowa,Stay at home,,
17,Kansas,Stay at home,3/30/20,5/3/20
18,Kentucky,Stay at home,,
19,Louisiana,Stay at home,3/23/20,5/15/20
20,Maine,Stay at home,4/2/20,5/31/20
21,Maryland,Stay at home,3/30/20,5/15/20
22,Massachusetts,Stay at home,3/24/20,5/18/20
23,Michigan,Stay at home,3/24/20,5/28/20
24,Minnesota,Stay at home,3/28/20,5/17/20
25,Mississippi,Stay at home,4/3/20,4/27/20
26,Missouri,Stay at home,4/6/20,5/3/20
27,Montana,Stay at home,3/28/20,4/26/20
28,Nebraska,Stay at home,,
29,Nevada,Stay at home,4/1/20,5/9/20
30,New Hampshire,Stay at home,3/28/20,5/31/20
31,New Jersey,Stay at home,3/21/20,6/5/20
32,New Mexico,Stay at home,3/24/20,5/31/20
33,New York,Stay at home,3/22/20,5/28/20
34,North Carolina,Stay at home,3/30/20,5/22/20
35,North Dakota,Stay at home,,
36,Ohio,Stay at home,3/24/20,5/29/20
37,Oklahoma,Stay at home,3/25/20,5/1/20
38,Oregon,Stay at home,3/23/20,5/15/20
39,Pennsylvania,Stay at home,4/1/20,6/4/20
40,Puerto Rico,Stay at home,3/15/20,6/15/20
41,Rhode Island,Stay at home,3/28/20,5/8/20
42,South Carolina,Stay at home,4/7/20,5/4/20
43,South Dakota,Stay at home,,
44,Tennessee,Stay at home,3/31/20,4/30/20
45,Texas,Stay at home,4/2/20,4/30/20
46,Utah,Stay at home,3/27/20,5/1/20
47,Vermont,Stay at home,3/25/20,5/15/20
48,Virginia,Stay at home,3/30/20,6/10/20
49,Washington,Stay at home,3/23/20,5/31/20
50,West Virginia,Stay at home,3/24/20,5/3/20
51,Wisconsin,Stay at home,3/25/20,5/13/20
52,Wyoming,Stay at home,3/28/20,5/1/20
