"","State_abbrev","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm"
"1","AK",NA,NA,NA,NA
"2","AL",287.438901350962,305.718013894824,87.1998464319111,96.4145403233849
"3","AR",284.315886967871,305.920125220473,85.7851970816368,92.3793870296743
"4","AZ",288.115514958426,307.923140537589,67.8978153902908,53.2261387769046
"5","CA",285.909157326911,302.892787775076,83.5733399601335,68.8984075123651
"6","CO",277.144030523483,299.745968519448,82.7643327323218,68.8629541372989
"7","CT",276.409471089692,299.824423930267,82.5673013539344,90.2166995910569
"8","DC",280.809341398459,303.550162384222,79.1294410632203,86.5977531438101
"9","DE",280.503809340919,302.73286075547,82.9084358776586,92.4561466095798
"10","FL",294.137771759734,305.930740927945,92.2727075943788,98.7790378731134
"11","GA",288.153665673784,305.652475474169,86.4374833788124,96.3293024897856
"12","HI",NA,NA,NA,NA
"13","IA",272.968286657809,301.686558107905,92.2590079367385,90.7614587971723
"14","ID",274.715875729806,299.885273067364,90.4382850154705,66.1426434515586
"15","IL",276.575338639803,302.851404323108,90.125243586668,91.0610863052979
"16","IN",276.543099021541,302.076347543118,90.4149550676813,91.1166807661249
"17","KS",280.233011764812,305.615594569896,87.6944447110469,86.4959447679976
"18","KY",280.56413366606,303.169191146262,87.5865804445673,94.1648898655647
"19","LA",289.651385627761,306.587064416159,88.6351520574065,95.9783768473045
"20","MA",276.309010970888,299.065042612585,83.9841561173413,90.8127536236731
"21","MD",280.139810885218,302.662470007582,82.2878795311083,91.4768611369243
"22","ME",272.128887644323,297.17304590197,85.5719999724381,90.9419958420087
"23","MI",272.581620878012,299.270448756063,93.6291918070882,92.2216132052007
"24","MN",268.973728259317,299.736227136463,91.3877796083429,90.3914298600621
"25","MO",279.02509802301,303.97793923695,86.8192286108456,90.4170885966652
"26","MS",287.469510909499,306.241437332048,88.7669029872655,96.08720874751
"27","MT",273.791773474925,299.183872070278,87.0537813489489,77.2535274930939
"28","NC",284.568063654304,303.591404396275,81.9877967091621,95.8432418478176
"29","ND",268.389825838975,299.83962778128,92.5428430610548,90.1409479059335
"30","NE",276.787942794123,303.389823599921,90.6528654902968,88.4576310119295
"31","NH",273.14587762023,298.288838826374,86.8080861585671,91.7967146994216
"32","NJ",278.637998844615,301.867246624846,80.998331272588,89.6566688118147
"33","NM",283.764852122269,304.23070534849,77.8452962865369,69.1682857538934
"34","NV",280.027138857955,303.228106323786,82.3347183292076,52.2418037028025
"35","NY",274.229942496449,299.061581365106,87.7575822526431,90.6300616499215
"36","OH",276.20337631897,301.252781415551,90.306900505681,90.963750932028
"37","OK",284.328350389695,307.011909716833,86.2738260542068,87.2254723043467
"38","OR",279.513256615146,298.557657463692,92.8765189949806,78.8362448920784
"39","PA",275.736817628259,300.030510965819,85.8395907838092,90.8576288545886
"40","RI",277.505680448348,299.524428371812,80.2091893028565,89.1527791019399
"41","SC",287.477054798179,305.612311727135,84.0175045856172,96.3150593430936
"42","SD",272.679365302316,302.030230958971,91.3644499316887,88.6311681802853
"43","TN",282.660199865768,303.775277117506,88.3197621451497,96.3049314769005
"44","TX",289.109361664241,307.687605006016,84.2449370154972,88.0828250975243
"45","UT",276.737515060709,301.445779009111,83.752170620104,52.0617262697679
"46","VA",281.87266720075,302.878527090702,83.0115469926086,93.967005312992
"47","VT",271.433705181648,297.477524393005,89.1226245051887,92.7557396724918
"48","WA",278.144160321321,297.587365087515,93.7275883282429,77.5403979278542
"49","WI",270.816947855426,299.524270653402,91.9088458692107,90.8740447709769
"50","WV",278.582040344534,300.957338417858,88.1209500360501,93.7429944084197
"51","WY",274.542209189862,299.792329837857,85.8736041666324,71.8892657438649
