"","state","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","Age_gp1","Age_gp2","Age_gp3","Age_gp4","density","q_popdensity","q_poverty","State_abbrev","stateFIPS","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","winter_tmmx","summer_tmmx","beds","smoke_perc","obese_perc","inactive_perc","diabetes_perc","bed_rate"
"1","Alabama",4864680,38.9,26.6,4.2,52420,"30.9","21.6","8.3","15.6","9.3","85.8","24.9",17.5,0.252905844,0.322006381,0.263960631,0.161127145,92.8019839755818,3,3,"AL",1,287.438901350962,305.718013894824,87.1998464319111,96.4145403233849,57.7200224317316,90.6224250106833,19000,0.374029411764706,0.20003027325,0.317058823529412,0.163235294117647,390.57039723065
"2","Alaska",738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,0.276283791,0.362818138,0.25470132,0.106196751,1.10990946581222,1,1,"AK",2,NA,NA,NA,NA,NA,NA,1813,0.344633333333333,0.208131628866667,0.2306,0.0901333333333333,245.492311608686
"3","Arizona",6946685,37.4,4.4,31.1,113990,"24","25.3","8.6","18","10.9","86.8","28.9",16.1,0.262628578,0.329565253,0.241061888,0.166744282,60.9411790507939,2,3,"AZ",4,288.115514958426,307.923140537589,67.8978153902908,53.2261387769046,58.9379269251668,94.5916529676603,15452,0.298,0.16425854325,0.251625,0.117125,222.4370329157
"4","Arkansas",2990671,37.9,15.4,7.3,53179,"34.1","22.6","7","14.4","8.1","86.2","22.6",17.6,0.263137604,0.321803702,0.25203976,0.163018935,56.2378194400045,2,3,"AR",5,284.315886967871,305.920125220473,85.7851970816368,92.3793870296743,52.0985965421678,90.9862253968514,11699,0.359605263157895,0.204138146078947,0.343815789473684,0.154184210526316,391.183115762316
"5","California",39148760,36.3,5.8,38.9,163695,"20.6","21.3","7.8","20.8","12.5","82.9","33.3",14.3,0.258507421,0.355025472,0.250691235,0.135775871,239.15672439598,4,2,"CA",6,285.909157326911,302.892787775076,83.5733399601335,68.8984075123651,54.9664831884398,85.5370179951368,104034,0.273627118644068,0.12078797440678,0.211457627118644,0.0964576271186441,265.74021757011
"6","Colorado",5531141,36.6,4.1,21.4,104094,"21.4","21.4","8.4","25.2","15","91.4","40.1",10.9,0.253937117,0.357326092,0.254833496,0.133903294,53.1360212884508,2,1,"CO",8,277.144030523483,299.745968519448,82.7643327323218,68.8629541372989,39.1892549422695,79.8727433350065,11899,0.247384615384615,0.143026053661538,0.193015384615385,0.0744,215.127403188601
"7","Connecticut",3581504,40.8,10.6,15.7,5543,"27.1","16.8","7.7","21.7","17.2","90.5","38.9",10,0.239370387,0.310584883,0.285985162,0.164059568,646.130976005773,5,1,"CT",9,276.409471089692,299.824423930267,82.5673013539344,90.2166995910569,37.8670479614456,80.0139630744807,9451,0.266,0.119688822111111,0.205111111111111,0.0893333333333333,263.883552831436
"8","Delaware",949495,40.2,22.1,9.1,2489,"31.6","19","7.8","18.3","13.1","89.8","31.4",11.9,0.240647923,0.313448728,0.269884518,0.176018831,381.476496584974,5,1,"DE",10,280.503809340919,302.73286075547,82.9084358776586,92.4561466095798,45.2368568136543,85.2491493598461,2780,0.31975,0.16295344625,0.28675,0.12,292.787218468765
"9","Florida",20598139,41.9,16.1,25.2,65758,"28.8","20.2","9.8","18.5","10.6","88","29.2",14.8,0.224643789,0.312837728,0.265200851,0.197317631,313.241567565924,5,2,"FL",12,294.137771759734,305.930740927945,92.2727075943788,98.7790378731134,69.7779891675212,91.0053336703011,72088,0.311147058823529,0.191455464720588,0.302176470588235,0.127455882352941,349.973364098572
"10","Georgia",10297484,36.5,31.5,9.4,59425,"27.9","20.5","7.6","18.9","11.7","86.7","30.7",16,0.271162451,0.340955228,0.256560049,0.131322273,173.285384938999,4,3,"GA",13,288.153665673784,305.652475474169,86.4374833788124,96.3293024897856,59.0065982128113,90.5044558535043,30778,0.344325,0.182575779975,0.308325,0.14649375,298.888544036582
"11","Hawaii",1422029,38.9,1.8,10.4,10932,"27.7","21","10.6","21.5","11","91.8","32.5",9.9,0.236874916,0.33747413,0.252690346,0.172960608,130.07949140139,3,1,"HI",15,NA,NA,NA,NA,NA,NA,3365,0.2265,0.125661459166667,0.2025,0.101333333333333,236.633711408136
"12","Idaho",1687809,36.1,0.7,12.4,83569,"27.7","26.4","9.6","18.2","8.7","90.6","26.9",13.8,0.287448402,0.321597408,0.240581132,0.150373058,20.1965920377173,1,2,"ID",16,274.715875729806,299.885273067364,90.4382850154705,66.1426434515586,34.8185763136508,80.1234915212552,3802,0.302355555555556,0.141529466222222,0.240355555555556,0.0945555555555556,225.262455645159
"13","Illinois",12821497,37.9,14.2,17,57914,"26.1","20.7","8","20.8","13.3","88.9","34.1",13.1,0.254559744,0.335894553,0.261754614,0.147791089,221.388558897676,4,2,"IL",17,276.575338639803,302.851404323108,90.125243586668,91.0610863052979,38.1656095516455,85.4625277815944,35811,0.30378640776699,0.158323206,0.257873786407767,0.109844660194175,279.304358921583
"14","Indiana",6637426,37.6,9.3,6.8,36420,"33.5","20.4","8.7","16.5","9.4","88.6","25.9",14.1,0.26514902,0.324877445,0.259905873,0.150067662,182.246732564525,4,2,"IN",18,276.543099021541,302.076347543118,90.4149550676813,91.1166807661249,38.1075782387739,84.0674255776125,19415,0.34,0.199519241978495,0.285129032258065,0.128354838709677,292.507969203724
"15","Iowa",3132499,38.1,3.5,5.9,56273,"31.1","21.2","11.5","19","9.2","92","28.2",11.7,0.262523308,0.317102096,0.256507983,0.163866613,55.6661098573028,2,1,"IA",19,272.968286657809,301.686558107905,92.2590079367385,90.7614587971723,31.6729159840563,83.365804594229,13785,0.34132,0.15856208859,0.25953,0.10584,440.063987251073
"16","Kansas",2908776,36.5,5.8,11.7,82278,"26","23.3","8.5","20.8","12.1","90.7","32.9",12.4,0.273977439,0.326863602,0.248656823,0.150502136,35.3530226792095,1,2,"KS",20,280.233011764812,305.615594569896,87.6944447110469,86.4959447679976,44.7494211766616,90.4380702258129,11261,0.34411320754717,0.161966713339623,0.285858490566038,0.112292452830189,387.138782773235
