"","state","date","stayathome","Start.Date","End.Date"
"1","Alabama",2020-03-04,0,"2020-04-04","2020-04-30"
"2","Alabama",2020-03-11,0,"2020-04-04","2020-04-30"
"3","Alabama",2020-03-18,0,"2020-04-04","2020-04-30"
"4","Alabama",2020-03-25,0,"2020-04-04","2020-04-30"
"5","Alabama",2020-04-01,0,"2020-04-04","2020-04-30"
"6","Alabama",2020-04-08,1,"2020-04-04","2020-04-30"
"7","Alabama",2020-04-15,1,"2020-04-04","2020-04-30"
"8","Alabama",2020-04-22,1,"2020-04-04","2020-04-30"
"9","Alabama",2020-04-29,0,"2020-04-04","2020-04-30"
"10","Alabama",2020-05-06,0,"2020-04-04","2020-04-30"
"11","Alabama",2020-05-13,0,"2020-04-04","2020-04-30"
"12","Alabama",2020-05-20,0,"2020-04-04","2020-04-30"
"13","Alabama",2020-05-27,0,"2020-04-04","2020-04-30"
"14","Alabama",2020-06-03,0,"2020-04-04","2020-04-30"
"15","Alabama",2020-06-10,0,"2020-04-04","2020-04-30"
"16","Alaska",2020-03-04,0,"2020-03-28","2020-04-24"
"17","Alaska",2020-03-11,0,"2020-03-28","2020-04-24"
"18","Alaska",2020-03-18,0,"2020-03-28","2020-04-24"
"19","Alaska",2020-03-25,0,"2020-03-28","2020-04-24"
"20","Alaska",2020-04-01,1,"2020-03-28","2020-04-24"
"21","Alaska",2020-04-08,1,"2020-03-28","2020-04-24"
"22","Alaska",2020-04-15,1,"2020-03-28","2020-04-24"
"23","Alaska",2020-04-22,1,"2020-03-28","2020-04-24"
"24","Alaska",2020-04-29,0,"2020-03-28","2020-04-24"
"25","Alaska",2020-05-06,0,"2020-03-28","2020-04-24"
"26","Alaska",2020-05-13,0,"2020-03-28","2020-04-24"
"27","Alaska",2020-05-20,0,"2020-03-28","2020-04-24"
"28","Alaska",2020-05-27,0,"2020-03-28","2020-04-24"
"29","Alaska",2020-06-03,0,"2020-03-28","2020-04-24"
"30","Alaska",2020-06-10,0,"2020-03-28","2020-04-24"
"31","Arizona",2020-03-04,0,"2020-03-31","2020-05-15"
"32","Arizona",2020-03-11,0,"2020-03-31","2020-05-15"
"33","Arizona",2020-03-18,0,"2020-03-31","2020-05-15"
"34","Arizona",2020-03-25,0,"2020-03-31","2020-05-15"
"35","Arizona",2020-04-01,1,"2020-03-31","2020-05-15"
"36","Arizona",2020-04-08,1,"2020-03-31","2020-05-15"
"37","Arizona",2020-04-15,1,"2020-03-31","2020-05-15"
"38","Arizona",2020-04-22,1,"2020-03-31","2020-05-15"
"39","Arizona",2020-04-29,1,"2020-03-31","2020-05-15"
"40","Arizona",2020-05-06,1,"2020-03-31","2020-05-15"
"41","Arizona",2020-05-13,1,"2020-03-31","2020-05-15"
"42","Arizona",2020-05-20,0,"2020-03-31","2020-05-15"
"43","Arizona",2020-05-27,0,"2020-03-31","2020-05-15"
"44","Arizona",2020-06-03,0,"2020-03-31","2020-05-15"
"45","Arizona",2020-06-10,0,"2020-03-31","2020-05-15"
"46","Arkansas",2020-03-04,0,NA,NA
"47","Arkansas",2020-03-11,0,NA,NA
"48","Arkansas",2020-03-18,0,NA,NA
"49","Arkansas",2020-03-25,0,NA,NA
"50","Arkansas",2020-04-01,0,NA,NA
"51","Arkansas",2020-04-08,0,NA,NA
"52","Arkansas",2020-04-15,0,NA,NA
"53","Arkansas",2020-04-22,0,NA,NA
"54","Arkansas",2020-04-29,0,NA,NA
"55","Arkansas",2020-05-06,0,NA,NA
"56","Arkansas",2020-05-13,0,NA,NA
"57","Arkansas",2020-05-20,0,NA,NA
"58","Arkansas",2020-05-27,0,NA,NA
"59","Arkansas",2020-06-03,0,NA,NA
"60","Arkansas",2020-06-10,0,NA,NA
"61","California",2020-03-04,0,"2020-03-19","2020-06-01"
"62","California",2020-03-11,0,"2020-03-19","2020-06-01"
"63","California",2020-03-18,1,"2020-03-19","2020-06-01"
"64","California",2020-03-25,1,"2020-03-19","2020-06-01"
"65","California",2020-04-01,1,"2020-03-19","2020-06-01"
"66","California",2020-04-08,1,"2020-03-19","2020-06-01"
"67","California",2020-04-15,1,"2020-03-19","2020-06-01"
"68","California",2020-04-22,1,"2020-03-19","2020-06-01"
"69","California",2020-04-29,1,"2020-03-19","2020-06-01"
"70","California",2020-05-06,1,"2020-03-19","2020-06-01"
"71","California",2020-05-13,1,"2020-03-19","2020-06-01"
"72","California",2020-05-20,1,"2020-03-19","2020-06-01"
"73","California",2020-05-27,1,"2020-03-19","2020-06-01"
"74","California",2020-06-03,0,"2020-03-19","2020-06-01"
"75","California",2020-06-10,0,"2020-03-19","2020-06-01"
"76","Colorado",2020-03-04,0,"2020-03-26","2020-04-26"
"77","Colorado",2020-03-11,0,"2020-03-26","2020-04-26"
"78","Colorado",2020-03-18,0,"2020-03-26","2020-04-26"
"79","Colorado",2020-03-25,1,"2020-03-26","2020-04-26"
"80","Colorado",2020-04-01,1,"2020-03-26","2020-04-26"
"81","Colorado",2020-04-08,1,"2020-03-26","2020-04-26"
"82","Colorado",2020-04-15,1,"2020-03-26","2020-04-26"
"83","Colorado",2020-04-22,1,"2020-03-26","2020-04-26"
"84","Colorado",2020-04-29,0,"2020-03-26","2020-04-26"
"85","Colorado",2020-05-06,0,"2020-03-26","2020-04-26"
"86","Colorado",2020-05-13,0,"2020-03-26","2020-04-26"
"87","Colorado",2020-05-20,0,"2020-03-26","2020-04-26"
"88","Colorado",2020-05-27,0,"2020-03-26","2020-04-26"
"89","Colorado",2020-06-03,0,"2020-03-26","2020-04-26"
"90","Colorado",2020-06-10,0,"2020-03-26","2020-04-26"
"91","Connecticut",2020-03-04,0,"2020-03-23","2020-05-20"
"92","Connecticut",2020-03-11,0,"2020-03-23","2020-05-20"
"93","Connecticut",2020-03-18,0,"2020-03-23","2020-05-20"
"94","Connecticut",2020-03-25,1,"2020-03-23","2020-05-20"
"95","Connecticut",2020-04-01,1,"2020-03-23","2020-05-20"
"96","Connecticut",2020-04-08,1,"2020-03-23","2020-05-20"
"97","Connecticut",2020-04-15,1,"2020-03-23","2020-05-20"
"98","Connecticut",2020-04-22,1,"2020-03-23","2020-05-20"
"99","Connecticut",2020-04-29,1,"2020-03-23","2020-05-20"
"100","Connecticut",2020-05-06,1,"2020-03-23","2020-05-20"
"101","Connecticut",2020-05-13,1,"2020-03-23","2020-05-20"
"102","Connecticut",2020-05-20,0,"2020-03-23","2020-05-20"
"103","Connecticut",2020-05-27,0,"2020-03-23","2020-05-20"
"104","Connecticut",2020-06-03,0,"2020-03-23","2020-05-20"
"105","Connecticut",2020-06-10,0,"2020-03-23","2020-05-20"
"106","Delaware",2020-03-04,0,"2020-03-24","2020-05-31"
"107","Delaware",2020-03-11,0,"2020-03-24","2020-05-31"
"108","Delaware",2020-03-18,0,"2020-03-24","2020-05-31"
"109","Delaware",2020-03-25,1,"2020-03-24","2020-05-31"
"110","Delaware",2020-04-01,1,"2020-03-24","2020-05-31"
"111","Delaware",2020-04-08,1,"2020-03-24","2020-05-31"
"112","Delaware",2020-04-15,1,"2020-03-24","2020-05-31"
"113","Delaware",2020-04-22,1,"2020-03-24","2020-05-31"
"114","Delaware",2020-04-29,1,"2020-03-24","2020-05-31"
"115","Delaware",2020-05-06,1,"2020-03-24","2020-05-31"
"116","Delaware",2020-05-13,1,"2020-03-24","2020-05-31"
"117","Delaware",2020-05-20,1,"2020-03-24","2020-05-31"
"118","Delaware",2020-05-27,1,"2020-03-24","2020-05-31"
"119","Delaware",2020-06-03,0,"2020-03-24","2020-05-31"
"120","Delaware",2020-06-10,0,"2020-03-24","2020-05-31"
"121","District of Columbia",2020-03-04,0,"2020-04-01","2020-06-08"
"122","District of Columbia",2020-03-11,0,"2020-04-01","2020-06-08"
"123","District of Columbia",2020-03-18,0,"2020-04-01","2020-06-08"
"124","District of Columbia",2020-03-25,0,"2020-04-01","2020-06-08"
"125","District of Columbia",2020-04-01,1,"2020-04-01","2020-06-08"
"126","District of Columbia",2020-04-08,1,"2020-04-01","2020-06-08"
"127","District of Columbia",2020-04-15,1,"2020-04-01","2020-06-08"
"128","District of Columbia",2020-04-22,1,"2020-04-01","2020-06-08"
"129","District of Columbia",2020-04-29,1,"2020-04-01","2020-06-08"
"130","District of Columbia",2020-05-06,1,"2020-04-01","2020-06-08"
"131","District of Columbia",2020-05-13,1,"2020-04-01","2020-06-08"
"132","District of Columbia",2020-05-20,1,"2020-04-01","2020-06-08"
"133","District of Columbia",2020-05-27,1,"2020-04-01","2020-06-08"
