"","state","date","stayathome","Start.Date","End.Date","Mask"
"1","Alabama",2020-03-04,0,"2020-04-04","2020-04-30",0
"2","Alabama",2020-03-11,0,"2020-04-04","2020-04-30",0
"3","Alabama",2020-03-18,0,"2020-04-04","2020-04-30",0
"4","Alabama",2020-03-25,0,"2020-04-04","2020-04-30",0
"5","Alabama",2020-04-01,0,"2020-04-04","2020-04-30",0
"6","Alabama",2020-04-08,1,"2020-04-04","2020-04-30",1
"7","Alabama",2020-04-15,1,"2020-04-04","2020-04-30",1
"8","Alabama",2020-04-22,1,"2020-04-04","2020-04-30",1
"9","Alabama",2020-04-29,0,"2020-04-04","2020-04-30",1
"10","Alabama",2020-05-06,0,"2020-04-04","2020-04-30",1
"11","Alabama",2020-05-13,0,"2020-04-04","2020-04-30",1
"12","Alabama",2020-05-20,0,"2020-04-04","2020-04-30",1
"13","Alabama",2020-05-27,0,"2020-04-04","2020-04-30",1
"14","Alabama",2020-06-03,0,"2020-04-04","2020-04-30",1
"15","Alabama",2020-06-10,0,"2020-04-04","2020-04-30",1
"16","Alaska",2020-03-04,0,"2020-03-28","2020-04-24",0
"17","Alaska",2020-03-11,0,"2020-03-28","2020-04-24",0
"18","Alaska",2020-03-18,0,"2020-03-28","2020-04-24",0
"19","Alaska",2020-03-25,0,"2020-03-28","2020-04-24",0
"20","Alaska",2020-04-01,1,"2020-03-28","2020-04-24",0
"21","Alaska",2020-04-08,1,"2020-03-28","2020-04-24",1
"22","Alaska",2020-04-15,1,"2020-03-28","2020-04-24",1
"23","Alaska",2020-04-22,1,"2020-03-28","2020-04-24",1
"24","Alaska",2020-04-29,0,"2020-03-28","2020-04-24",1
"25","Alaska",2020-05-06,0,"2020-03-28","2020-04-24",1
"26","Alaska",2020-05-13,0,"2020-03-28","2020-04-24",1
"27","Alaska",2020-05-20,0,"2020-03-28","2020-04-24",1
"28","Alaska",2020-05-27,0,"2020-03-28","2020-04-24",1
"29","Alaska",2020-06-03,0,"2020-03-28","2020-04-24",1
"30","Alaska",2020-06-10,0,"2020-03-28","2020-04-24",1
"31","Arizona",2020-03-04,0,"2020-03-31","2020-05-15",0
"32","Arizona",2020-03-11,0,"2020-03-31","2020-05-15",0
"33","Arizona",2020-03-18,0,"2020-03-31","2020-05-15",0
"34","Arizona",2020-03-25,0,"2020-03-31","2020-05-15",0
"35","Arizona",2020-04-01,1,"2020-03-31","2020-05-15",0
"36","Arizona",2020-04-08,1,"2020-03-31","2020-05-15",1
"37","Arizona",2020-04-15,1,"2020-03-31","2020-05-15",1
"38","Arizona",2020-04-22,1,"2020-03-31","2020-05-15",1
"39","Arizona",2020-04-29,1,"2020-03-31","2020-05-15",1
"40","Arizona",2020-05-06,1,"2020-03-31","2020-05-15",1
"41","Arizona",2020-05-13,1,"2020-03-31","2020-05-15",1
"42","Arizona",2020-05-20,0,"2020-03-31","2020-05-15",1
"43","Arizona",2020-05-27,0,"2020-03-31","2020-05-15",1
"44","Arizona",2020-06-03,0,"2020-03-31","2020-05-15",1
"45","Arizona",2020-06-10,0,"2020-03-31","2020-05-15",1
"46","Arkansas",2020-03-04,0,NA,NA,0
"47","Arkansas",2020-03-11,0,NA,NA,0
"48","Arkansas",2020-03-18,0,NA,NA,0
"49","Arkansas",2020-03-25,0,NA,NA,0
"50","Arkansas",2020-04-01,0,NA,NA,0
"51","Arkansas",2020-04-08,0,NA,NA,1
"52","Arkansas",2020-04-15,0,NA,NA,1
"53","Arkansas",2020-04-22,0,NA,NA,1
"54","Arkansas",2020-04-29,0,NA,NA,1
"55","Arkansas",2020-05-06,0,NA,NA,1
"56","Arkansas",2020-05-13,0,NA,NA,1
"57","Arkansas",2020-05-20,0,NA,NA,1
"58","Arkansas",2020-05-27,0,NA,NA,1
"59","Arkansas",2020-06-03,0,NA,NA,1
"60","Arkansas",2020-06-10,0,NA,NA,1
"61","California",2020-03-04,0,"2020-03-19","2020-06-01",0
"62","California",2020-03-11,0,"2020-03-19","2020-06-01",0
"63","California",2020-03-18,1,"2020-03-19","2020-06-01",0
"64","California",2020-03-25,1,"2020-03-19","2020-06-01",0
"65","California",2020-04-01,1,"2020-03-19","2020-06-01",0
"66","California",2020-04-08,1,"2020-03-19","2020-06-01",1
"67","California",2020-04-15,1,"2020-03-19","2020-06-01",1
"68","California",2020-04-22,1,"2020-03-19","2020-06-01",1
"69","California",2020-04-29,1,"2020-03-19","2020-06-01",1
"70","California",2020-05-06,1,"2020-03-19","2020-06-01",1
"71","California",2020-05-13,1,"2020-03-19","2020-06-01",1
"72","California",2020-05-20,1,"2020-03-19","2020-06-01",1
"73","California",2020-05-27,1,"2020-03-19","2020-06-01",1
"74","California",2020-06-03,0,"2020-03-19","2020-06-01",1
"75","California",2020-06-10,0,"2020-03-19","2020-06-01",1
"76","Colorado",2020-03-04,0,"2020-03-26","2020-04-26",0
"77","Colorado",2020-03-11,0,"2020-03-26","2020-04-26",0
"78","Colorado",2020-03-18,0,"2020-03-26","2020-04-26",0
