"","State_abbrev","stateFIPS","state"
"1","AK",2,"Alaska"
"2","AL",1,"Alabama"
"3","AR",5,"Arkansas"
"4","AS",60,"American Samoa"
"5","AZ",4,"Arizona"
"6","CA",6,"California"
"7","CO",8,"Colorado"
"8","CT",9,"Connecticut"
"9","DC",11,"District Of Columbia"
"10","DE",10,"Delaware"
"11","FL",12,"Florida"
"12","GA",13,"Georgia"
"13","GU",66,"Guam"
"14","HI",15,"Hawaii"
"15","IA",19,"Iowa"
"16","ID",16,"Idaho"
"17","IL",17,"Illinois"
"18","IN",18,"Indiana"
"19","KS",20,"Kansas"
"20","KY",21,"Kentucky"
"21","LA",22,"Louisiana"
"22","MA",25,"Massachusetts"
"23","MD",24,"Maryland"
"24","ME",23,"Maine"
"25","MI",26,"Michigan"
"26","MN",27,"Minnesota"
"27","MO",29,"Missouri"
"28","MP",69,"Northern Mariana Islands"
"29","MS",28,"Mississippi"
"30","MT",30,"Montana"
"31","NC",37,"North Carolina"
"32","ND",38,"North Dakota"
"33","NE",31,"Nebraska"
"34","NH",33,"New Hampshire"
"35","NJ",34,"New Jersey"
"36","NM",35,"New Mexico"
"37","NV",32,"Nevada"
"38","NY",36,"New York"
"39","OH",39,"Ohio"
"40","OK",40,"Oklahoma"
"41","OR",41,"Oregon"
"42","PA",42,"Pennsylvania"
"43","PR",72,"Puerto Rico"
"44","RI",44,"Rhode Island"
"45","SC",45,"South Carolina"
"46","SD",46,"South Dakota"
"47","TN",47,"Tennessee"
"48","TX",48,"Texas"
"49","UT",49,"Utah"
"50","VA",51,"Virginia"
"51","VI",78,"US Virgin Islands"
"52","VT",50,"Vermont"
"53","WA",53,"Washington"
"54","WI",55,"Wisconsin"
"55","WV",54,"West Virginia"
"56","WY",56,"Wyoming"
