"","date","state","cum_death","daily_death"
"Alabama.1",2020-01-22,"Alabama",0,0
"Alabama.2",2020-01-23,"Alabama",0,0
"Alabama.3",2020-01-24,"Alabama",0,0
"Alabama.4",2020-01-25,"Alabama",0,0
"Alabama.5",2020-01-26,"Alabama",0,0
"Alabama.6",2020-01-27,"Alabama",0,0
"Alabama.7",2020-01-28,"Alabama",0,0
"Alabama.8",2020-01-29,"Alabama",0,0
"Alabama.9",2020-01-30,"Alabama",0,0
"Alabama.10",2020-01-31,"Alabama",0,0
"Alabama.11",2020-02-01,"Alabama",0,0
"Alabama.12",2020-02-02,"Alabama",0,0
"Alabama.13",2020-02-03,"Alabama",0,0
"Alabama.14",2020-02-04,"Alabama",0,0
"Alabama.15",2020-02-05,"Alabama",0,0
"Alabama.16",2020-02-06,"Alabama",0,0
"Alabama.17",2020-02-07,"Alabama",0,0
"Alabama.18",2020-02-08,"Alabama",0,0
"Alabama.19",2020-02-09,"Alabama",0,0
"Alabama.20",2020-02-10,"Alabama",0,0
"Alabama.21",2020-02-11,"Alabama",0,0
"Alabama.22",2020-02-12,"Alabama",0,0
"Alabama.23",2020-02-13,"Alabama",0,0
"Alabama.24",2020-02-14,"Alabama",0,0
"Alabama.25",2020-02-15,"Alabama",0,0
"Alabama.26",2020-02-16,"Alabama",0,0
"Alabama.27",2020-02-17,"Alabama",0,0
"Alabama.28",2020-02-18,"Alabama",0,0
"Alabama.29",2020-02-19,"Alabama",0,0
"Alabama.30",2020-02-20,"Alabama",0,0
"Alabama.31",2020-02-21,"Alabama",0,0
"Alabama.32",2020-02-22,"Alabama",0,0
"Alabama.33",2020-02-23,"Alabama",0,0
"Alabama.34",2020-02-24,"Alabama",0,0
"Alabama.35",2020-02-25,"Alabama",0,0
"Alabama.36",2020-02-26,"Alabama",0,0
"Alabama.37",2020-02-27,"Alabama",0,0
"Alabama.38",2020-02-28,"Alabama",0,0
"Alabama.39",2020-02-29,"Alabama",0,0
"Alabama.40",2020-03-01,"Alabama",0,0
"Alabama.41",2020-03-02,"Alabama",0,0
"Alabama.42",2020-03-03,"Alabama",0,0
"Alabama.43",2020-03-04,"Alabama",0,0
"Alabama.44",2020-03-05,"Alabama",0,0
"Alabama.45",2020-03-06,"Alabama",0,0
"Alabama.46",2020-03-07,"Alabama",0,0
"Alabama.47",2020-03-08,"Alabama",0,0
"Alabama.48",2020-03-09,"Alabama",0,0
"Alabama.49",2020-03-10,"Alabama",0,0
"Alabama.50",2020-03-11,"Alabama",0,0
"Alabama.51",2020-03-12,"Alabama",0,0
"Alabama.52",2020-03-13,"Alabama",0,0
"Alabama.53",2020-03-14,"Alabama",0,0
"Alabama.54",2020-03-15,"Alabama",0,0
"Alabama.55",2020-03-16,"Alabama",0,0
"Alabama.56",2020-03-17,"Alabama",0,0
"Alabama.57",2020-03-18,"Alabama",0,0
"Alabama.58",2020-03-19,"Alabama",0,0
"Alabama.59",2020-03-20,"Alabama",0,0
"Alabama.60",2020-03-21,"Alabama",0,0
"Alabama.61",2020-03-22,"Alabama",0,0
"Alabama.62",2020-03-23,"Alabama",0,0
