state,temp,perc
Alabama,64.9,291.27
Alaska,30.8,191.13
Arizona,61.9,62.5
Arkansas,61.8,297.98
California,59.9,116.16
Colorado,47,91.56
Connecticut,50.6,233.99
District of Columbia,57.7,229.17
Delaware,57.2,237.96
Florida,72.8,277.52
Georgia,65.6,255.14
Hawaii,74.7,263.38
Idaho,44.6,121.48
Illinois,53.3,222.01
Indiana,53.1,236.04
Iowa,48.9,199.7
Kansas,55.7,160.36
Kentucky,57.4,282.82
Louisiana,68.2,326.71
Maine,41.9,226.28
Maryland,56.2,237.06
Massachusetts,49.3,238.82
Michigan,45.6,184.86
Minnesota,42.1,157.04
Mississippi,65.4,307.5
Missouri,56.1,233.23
Montana,42.8,96.87
Nebraska,49.8,139.32
Nevada,51.8,56.73
New Hampshire,44.4,234.83
New Jersey,54.4,244.98
New Mexico,55.3,73.16
New York,46.3,222.95
North Carolina,60.8,276.37
North Dakota,41.5,94.71
Ohio,52.6,223.71
Oklahoma,61,209.5
Oregon,48.5,156.52
Pennsylvania,50.1,243.53
Rhode Island,51.3,251.54
South Carolina,64.7,256.75
South Dakota,45.8,115.73
Tennessee,59.6,296.47
Texas,66.4,164.19
Utah,50,70.8
Vermont,43.3,225.83
Virginia,57,246.27
Washington,48,215.47
West Virginia,53.7,254.32
Wisconsin,44.2,197.13
Wyoming,42.8,87.1
