"","state","date","week","pos_test","neg_test","test","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"1","Alabama",2020-03-04,10,0,0,0,-0.855072463768116,3.02898550724638,10.695652173913,7.72463768115942,29.9710144927536,9.39130434782609
"2","Alabama",2020-03-11,11,36,28,64,0.768115942028985,-1.14492753623188,3.50724637681159,22.2753623188406,24.1159420289855,6.63768115942029
"3","Alabama",2020-03-18,12,179,2078,2257,10.3380281690141,-24.5633802816901,-27.1267605633803,7.57746478873239,6.73239436619718,-11.9718309859155
"4","Alabama",2020-03-25,13,766,4192,4958,13.3384615384615,-34.1230769230769,-35.0461538461538,-6.26153846153846,11.3846153846154,-21.3384615384615
"5","Alabama",2020-04-01,14,1138,6499,7637,15.0571428571429,-37.8571428571429,-37.7,-2.1,-3.22857142857143,-26.6857142857143
"6","Alabama",2020-04-08,15,1757,16444,18201,16.056338028169,-41.9718309859155,-40.8028169014084,-12.1408450704225,-12.6901408450704,-31.8591549295775
"7","Alabama",2020-04-15,16,1355,14054,15409,14.46875,-37.125,-31.109375,-8.828125,-4.21875,-26.484375
"8","Alabama",2020-04-22,17,1456,25845,27301,14.1846153846154,-36.3846153846154,-29.0615384615385,-6.58461538461538,3.06153846153846,-23.0615384615385
"9","Alabama",2020-04-29,18,1598,29341,30939,10.8412698412698,-33.5396825396825,-18.7142857142857,2.61904761904762,14.3015873015873,-15.2539682539683
"10","Alabama",2020-05-06,19,2025,24427,26452,10.1967213114754,-30.4754098360656,-16.5081967213115,8.62295081967213,19.672131147541,-10.0655737704918
"11","Alabama",2020-05-13,20,2066,22282,24348,10.7333333333333,-30.8666666666667,-8.73333333333333,4.13333333333333,29.7333333333333,-7.53333333333333
"12","Alaska",2020-03-04,10,0,23,23,0.142857142857143,-0.142857142857143,10.7142857142857,7.42857142857143,9.78571428571429,6.71428571428571
"13","Alaska",2020-03-11,11,3,311,314,2.35714285714286,-7.35714285714286,5.92857142857143,16.5,24.0714285714286,0.428571428571429
"14","Alaska",2020-03-18,12,33,652,685,10.6428571428571,-25.0714285714286,-28.6428571428571,2.21428571428571,20.6428571428571,-22.7857142857143
"15","Alaska",2020-03-25,13,83,2608,2691,17,-42,-43.2142857142857,-16,19.3571428571429,-46.7142857142857
"16","Alaska",2020-04-01,14,94,3106,3200,17.7142857142857,-44.0714285714286,-41.3571428571429,-12.7857142857143,11.7857142857143,-47.5714285714286
"17","Alaska",2020-04-08,15,72,1363,1435,17.3571428571429,-44.2857142857143,-42.7142857142857,-14.2142857142857,16.4285714285714,-51.2142857142857
"18","Alaska",2020-04-15,16,44,2727,2771,16.0714285714286,-40.4285714285714,-31.5,-8.92857142857143,21.7142857142857,-47.4285714285714
"19","Alaska",2020-04-22,17,22,5948,5970,14.2307692307692,-38.1538461538462,-26.1538461538462,-7,60.7692307692308,-43.8461538461538
