,state,date,Mask,lock_down,Stay-at-home
1,Alabama,1/22/20,0,0,0
70,Alabama,1/23/20,0,0,0
139,Alabama,1/24/20,0,0,0
208,Alabama,1/25/20,0,0,0
277,Alabama,1/26/20,0,0,0
346,Alabama,1/27/20,0,0,0
415,Alabama,1/28/20,0,0,0
484,Alabama,1/29/20,0,0,0
553,Alabama,1/30/20,0,0,0
622,Alabama,1/31/20,0,0,0
691,Alabama,2/1/20,0,0,0
760,Alabama,2/2/20,0,0,0
829,Alabama,2/3/20,0,0,0
898,Alabama,2/4/20,0,0,0
967,Alabama,2/5/20,0,0,0
1036,Alabama,2/6/20,0,0,0
1105,Alabama,2/7/20,0,0,0
1174,Alabama,2/8/20,0,0,0
1243,Alabama,2/9/20,0,0,0
1312,Alabama,2/10/20,0,0,0
1381,Alabama,2/11/20,0,0,0
1450,Alabama,2/12/20,0,0,0
1519,Alabama,2/13/20,0,0,0
1588,Alabama,2/14/20,0,0,0
1657,Alabama,2/15/20,0,0,0
1726,Alabama,2/16/20,0,0,0
1795,Alabama,2/17/20,0,0,0
1864,Alabama,2/18/20,0,0,0
1933,Alabama,2/19/20,0,0,0
2002,Alabama,2/20/20,0,0,0
2071,Alabama,2/21/20,0,0,0
2140,Alabama,2/22/20,0,0,0
2209,Alabama,2/23/20,0,0,0
2278,Alabama,2/24/20,0,0,0
2347,Alabama,2/25/20,0,0,0
2416,Alabama,2/26/20,0,0,0
2485,Alabama,2/27/20,0,0,0
2554,Alabama,2/28/20,0,0,0
2623,Alabama,2/29/20,0,0,0
2692,Alabama,3/1/20,0,0,0
2761,Alabama,3/2/20,0,0,0
2830,Alabama,3/3/20,0,0,0
2899,Alabama,3/4/20,0,0,0
2968,Alabama,3/5/20,0,0,0
3037,Alabama,3/6/20,0,0,0
3106,Alabama,3/7/20,0,0,0
3175,Alabama,3/8/20,0,0,0
3244,Alabama,3/9/20,0,0,0
3313,Alabama,3/10/20,0,0,0
3382,Alabama,3/11/20,0,0,0
3451,Alabama,3/12/20,0,0,0
3520,Alabama,3/13/20,0,0,0
3589,Alabama,3/14/20,0,0,0
3658,Alabama,3/15/20,0,0,0
3727,Alabama,3/16/20,0,0,0
3796,Alabama,3/17/20,0,0,0
3865,Alabama,3/18/20,0,0,0
3934,Alabama,3/19/20,0,0,0
4003,Alabama,3/20/20,0,0,0
4072,Alabama,3/21/20,0,0,0
4141,Alabama,3/22/20,0,0,0
4210,Alabama,3/23/20,0,0,0
4279,Alabama,3/24/20,0,0,0
4348,Alabama,3/25/20,0,0,0
4417,Alabama,3/26/20,0,0,0
4486,Alabama,3/27/20,0,0,0
4555,Alabama,3/28/20,0,0,0
4624,Alabama,3/29/20,0,0,0
4693,Alabama,3/30/20,0,0,0
4762,Alabama,3/31/20,0,0,0
4831,Alabama,4/1/20,0,0,0
4900,Alabama,4/2/20,0,0,0
4969,Alabama,4/3/20,0,0,0
5038,Alabama,4/4/20,1,1,1
5107,Alabama,4/5/20,1,1,1
5176,Alabama,4/6/20,1,1,1
5245,Alabama,4/7/20,1,1,1
5314,Alabama,4/8/20,1,1,1
5383,Alabama,4/9/20,1,1,1
5452,Alabama,4/10/20,1,1,1
5521,Alabama,4/11/20,1,1,1
5590,Alabama,4/12/20,1,1,1
5659,Alabama,4/13/20,1,1,1
5728,Alabama,4/14/20,1,1,1
5797,Alabama,4/15/20,1,1,1
5866,Alabama,4/16/20,1,1,1
5935,Alabama,4/17/20,1,1,1
6004,Alabama,4/18/20,1,1,1
6073,Alabama,4/19/20,1,1,1
6142,Alabama,4/20/20,1,1,1
6211,Alabama,4/21/20,1,1,1
6280,Alabama,4/22/20,1,1,1
6349,Alabama,4/23/20,1,1,1
6418,Alabama,4/24/20,1,1,1
6487,Alabama,4/25/20,1,1,1
6556,Alabama,4/26/20,1,1,1
6625,Alabama,4/27/20,1,1,1
6694,Alabama,4/28/20,1,1,1
6763,Alabama,4/29/20,1,1,1
6832,Alabama,4/30/20,1,1,1
6901,Alabama,5/1/20,1,1,0
6970,Alabama,5/2/20,1,1,0
7039,Alabama,5/3/20,1,1,0
7108,Alabama,5/4/20,1,1,0
7177,Alabama,5/5/20,1,1,0
7246,Alabama,5/6/20,1,1,0
7315,Alabama,5/7/20,1,1,0
7384,Alabama,5/8/20,1,1,0
,Alabama,5/9/20,,,0
,Alabama,5/10/20,,,0
,Alabama,5/11/20,,,0
,Alabama,5/12/20,,,0
,Alabama,5/13/20,,,0
,Alabama,5/14/20,,,0
,Alabama,5/15/20,,,0
,Alabama,5/16/20,,,0
,Alabama,5/17/20,,,0
,Alabama,5/18/20,,,0
,Alabama,5/19/20,,,0
,Alabama,5/20/20,,,0
7453,Alaska,1/22/20,0,0,0
7484,Alaska,1/23/20,0,0,0
7515,Alaska,1/24/20,0,0,0
7546,Alaska,1/25/20,0,0,0
7577,Alaska,1/26/20,0,0,0
7608,Alaska,1/27/20,0,0,0
7639,Alaska,1/28/20,0,0,0
7670,Alaska,1/29/20,0,0,0
7701,Alaska,1/30/20,0,0,0
7732,Alaska,1/31/20,0,0,0
7763,Alaska,2/1/20,0,0,0
7794,Alaska,2/2/20,0,0,0
7825,Alaska,2/3/20,0,0,0
7856,Alaska,2/4/20,0,0,0
7887,Alaska,2/5/20,0,0,0
7918,Alaska,2/6/20,0,0,0
7949,Alaska,2/7/20,0,0,0
7980,Alaska,2/8/20,0,0,0
8011,Alaska,2/9/20,0,0,0
8042,Alaska,2/10/20,0,0,0
8073,Alaska,2/11/20,0,0,0
8104,Alaska,2/12/20,0,0,0
8135,Alaska,2/13/20,0,0,0
8166,Alaska,2/14/20,0,0,0
8197,Alaska,2/15/20,0,0,0
8228,Alaska,2/16/20,0,0,0
8259,Alaska,2/17/20,0,0,0
8290,Alaska,2/18/20,0,0,0
8321,Alaska,2/19/20,0,0,0
8352,Alaska,2/20/20,0,0,0
8383,Alaska,2/21/20,0,0,0
8414,Alaska,2/22/20,0,0,0
8445,Alaska,2/23/20,0,0,0
8476,Alaska,2/24/20,0,0,0
8507,Alaska,2/25/20,0,0,0
8538,Alaska,2/26/20,0,0,0
8569,Alaska,2/27/20,0,0,0
8600,Alaska,2/28/20,0,0,0
8631,Alaska,2/29/20,0,0,0
8662,Alaska,3/1/20,0,0,0
8693,Alaska,3/2/20,0,0,0
8724,Alaska,3/3/20,0,0,0
8755,Alaska,3/4/20,0,0,0
8786,Alaska,3/5/20,0,0,0
8817,Alaska,3/6/20,0,0,0
8848,Alaska,3/7/20,0,0,0
8879,Alaska,3/8/20,0,0,0
8910,Alaska,3/9/20,0,0,0
8941,Alaska,3/10/20,0,0,0
8972,Alaska,3/11/20,0,0,0
9003,Alaska,3/12/20,0,0,0
9034,Alaska,3/13/20,0,0,0
9065,Alaska,3/14/20,0,0,0
9096,Alaska,3/15/20,0,0,0
9127,Alaska,3/16/20,0,0,0
9158,Alaska,3/17/20,0,0,0
9189,Alaska,3/18/20,0,0,0
9220,Alaska,3/19/20,0,0,0
9251,Alaska,3/20/20,0,0,0
9282,Alaska,3/21/20,0,0,0
9313,Alaska,3/22/20,0,0,0
9344,Alaska,3/23/20,0,0,0
9375,Alaska,3/24/20,0,0,0
9406,Alaska,3/25/20,0,0,0
9437,Alaska,3/26/20,0,0,0
9468,Alaska,3/27/20,0,0,0
9499,Alaska,3/28/20,0,1,1
9530,Alaska,3/29/20,0,1,1
9561,Alaska,3/30/20,0,1,1
9592,Alaska,3/31/20,0,1,1
9623,Alaska,4/1/20,0,1,1
9654,Alaska,4/2/20,0,1,1
9685,Alaska,4/3/20,0,1,1
9716,Alaska,4/4/20,1,1,1
9747,Alaska,4/5/20,1,1,1
9778,Alaska,4/6/20,1,1,1
9809,Alaska,4/7/20,1,1,1
9840,Alaska,4/8/20,1,1,1
9871,Alaska,4/9/20,1,1,1
9902,Alaska,4/10/20,1,1,1
9933,Alaska,4/11/20,1,1,1
9964,Alaska,4/12/20,1,1,1
9995,Alaska,4/13/20,1,1,1
10026,Alaska,4/14/20,1,1,1
10057,Alaska,4/15/20,1,1,1
10088,Alaska,4/16/20,1,1,1
10119,Alaska,4/17/20,1,1,1
10150,Alaska,4/18/20,1,1,1
10181,Alaska,4/19/20,1,1,1
10212,Alaska,4/20/20,1,1,1
10243,Alaska,4/21/20,1,1,1
10274,Alaska,4/22/20,1,1,1
10305,Alaska,4/23/20,1,1,1
10336,Alaska,4/24/20,1,1,1
10367,Alaska,4/25/20,1,1,0
10398,Alaska,4/26/20,1,1,0
10429,Alaska,4/27/20,1,1,0
10460,Alaska,4/28/20,1,1,0
10491,Alaska,4/29/20,1,1,0
10522,Alaska,4/30/20,1,1,0
10553,Alaska,5/1/20,1,1,0
10584,Alaska,5/2/20,1,1,0
10615,Alaska,5/3/20,1,1,0
10646,Alaska,5/4/20,1,1,0
10677,Alaska,5/5/20,1,1,0
10708,Alaska,5/6/20,1,1,0
10739,Alaska,5/7/20,1,1,0
10770,Alaska,5/8/20,1,1,0
,Alaska,5/9/20,,,0
,Alaska,5/10/20,,,0
,Alaska,5/11/20,,,0
,Alaska,5/12/20,,,0
,Alaska,5/13/20,,,0
,Alaska,5/14/20,,,0
,Alaska,5/15/20,,,0
,Alaska,5/16/20,,,0
,Alaska,5/17/20,,,0
,Alaska,5/18/20,,,0
,Alaska,5/19/20,,,0
,Alaska,5/20/20,,,0
10801,Arizona,1/22/20,0,0,0
10818,Arizona,1/23/20,0,0,0
10835,Arizona,1/24/20,0,0,0
10852,Arizona,1/25/20,0,0,0
10869,Arizona,1/26/20,0,0,0
10886,Arizona,1/27/20,0,0,0
10903,Arizona,1/28/20,0,0,0
10920,Arizona,1/29/20,0,0,0
10937,Arizona,1/30/20,0,0,0
10954,Arizona,1/31/20,0,0,0
10971,Arizona,2/1/20,0,0,0
10988,Arizona,2/2/20,0,0,0
11005,Arizona,2/3/20,0,0,0
11022,Arizona,2/4/20,0,0,0
11039,Arizona,2/5/20,0,0,0
11056,Arizona,2/6/20,0,0,0
11073,Arizona,2/7/20,0,0,0
11090,Arizona,2/8/20,0,0,0
11107,Arizona,2/9/20,0,0,0
11124,Arizona,2/10/20,0,0,0
11141,Arizona,2/11/20,0,0,0
11158,Arizona,2/12/20,0,0,0
11175,Arizona,2/13/20,0,0,0
11192,Arizona,2/14/20,0,0,0
11209,Arizona,2/15/20,0,0,0
11226,Arizona,2/16/20,0,0,0
11243,Arizona,2/17/20,0,0,0
11260,Arizona,2/18/20,0,0,0
11277,Arizona,2/19/20,0,0,0
11294,Arizona,2/20/20,0,0,0
11311,Arizona,2/21/20,0,0,0
11328,Arizona,2/22/20,0,0,0
11345,Arizona,2/23/20,0,0,0
11362,Arizona,2/24/20,0,0,0
11379,Arizona,2/25/20,0,0,0
11396,Arizona,2/26/20,0,0,0
11413,Arizona,2/27/20,0,0,0
11430,Arizona,2/28/20,0,0,0
11447,Arizona,2/29/20,0,0,0
11464,Arizona,3/1/20,0,0,0
11481,Arizona,3/2/20,0,0,0
11498,Arizona,3/3/20,0,0,0
11515,Arizona,3/4/20,0,0,0
11532,Arizona,3/5/20,0,0,0
11549,Arizona,3/6/20,0,0,0
11566,Arizona,3/7/20,0,0,0
11583,Arizona,3/8/20,0,0,0
11600,Arizona,3/9/20,0,0,0
11617,Arizona,3/10/20,0,0,0
11634,Arizona,3/11/20,0,0,0
11651,Arizona,3/12/20,0,0,0
11668,Arizona,3/13/20,0,0,0
11685,Arizona,3/14/20,0,0,0
11702,Arizona,3/15/20,0,0,0
11719,Arizona,3/16/20,0,0,0
11736,Arizona,3/17/20,0,0,0
11753,Arizona,3/18/20,0,0,0
11770,Arizona,3/19/20,0,0,0
11787,Arizona,3/20/20,0,0,0
11804,Arizona,3/21/20,0,0,0
11821,Arizona,3/22/20,0,0,0
11838,Arizona,3/23/20,0,0,0
11855,Arizona,3/24/20,0,0,0
11872,Arizona,3/25/20,0,0,0
11889,Arizona,3/26/20,0,0,0
11906,Arizona,3/27/20,0,0,0
11923,Arizona,3/28/20,0,0,0
11940,Arizona,3/29/20,0,0,0
11957,Arizona,3/30/20,0,0,0
11974,Arizona,3/31/20,0,1,1
11991,Arizona,4/1/20,0,1,1
12008,Arizona,4/2/20,0,1,1
12025,Arizona,4/3/20,0,1,1
12042,Arizona,4/4/20,1,1,1
12059,Arizona,4/5/20,1,1,1
12076,Arizona,4/6/20,1,1,1
12093,Arizona,4/7/20,1,1,1
12110,Arizona,4/8/20,1,1,1
12127,Arizona,4/9/20,1,1,1
12144,Arizona,4/10/20,1,1,1
12161,Arizona,4/11/20,1,1,1
12178,Arizona,4/12/20,1,1,1
12195,Arizona,4/13/20,1,1,1
12212,Arizona,4/14/20,1,1,1
12229,Arizona,4/15/20,1,1,1
12246,Arizona,4/16/20,1,1,1
12263,Arizona,4/17/20,1,1,1
12280,Arizona,4/18/20,1,1,1
12297,Arizona,4/19/20,1,1,1
12314,Arizona,4/20/20,1,1,1
12331,Arizona,4/21/20,1,1,1
12348,Arizona,4/22/20,1,1,1
12365,Arizona,4/23/20,1,1,1
12382,Arizona,4/24/20,1,1,1
12399,Arizona,4/25/20,1,1,1
12416,Arizona,4/26/20,1,1,1
12433,Arizona,4/27/20,1,1,1
12450,Arizona,4/28/20,1,1,1
12467,Arizona,4/29/20,1,1,1
12484,Arizona,4/30/20,1,1,1
12501,Arizona,5/1/20,1,1,1
12518,Arizona,5/2/20,1,1,1
12535,Arizona,5/3/20,1,1,1
12552,Arizona,5/4/20,1,1,1
12569,Arizona,5/5/20,1,1,1
12586,Arizona,5/6/20,1,1,1
12603,Arizona,5/7/20,1,1,1
12620,Arizona,5/8/20,1,1,1
,Arizona,5/9/20,,,1
,Arizona,5/10/20,,,1
,Arizona,5/11/20,,,1
,Arizona,5/12/20,,,1
,Arizona,5/13/20,,,1
,Arizona,5/14/20,,,1
,Arizona,5/15/20,,,1
,Arizona,5/16/20,,,0
,Arizona,5/17/20,,,0
,Arizona,5/18/20,,,0
,Arizona,5/19/20,,,0
,Arizona,5/20/20,,,0
